,Gene,DORF_ID
0,gene_2,DORF25031
1,gene_3,DORF25047
2,gene_9,DORF25842
3,gene_11,DORF26313
4,gene_15,DORF26459
5,gene_17,DORF26503
6,gene_19,DORF26828
7,gene_22,DORF26924
8,gene_31,DORF27863
9,gene_32,DORF27889
10,gene_38,DORF28817
11,gene_40,DORF28911
12,gene_47,DORF29743
13,gene_62,DORF31523
14,gene_69,DORF32061
15,gene_70,DORF32294
16,gene_86,DORF34036
17,gene_102,DORF35362
18,gene_106,DORF35977
19,gene_112,DORF36392
20,gene_123,DORF37046
21,gene_125,DORF37060
22,gene_132,DORF37657
23,gene_133,DORF37658
24,gene_135,DORF38058
25,gene_153,DORF39356
26,gene_154,DORF39360
27,gene_156,DORF39640
28,gene_158,DORF40128
29,gene_160,DORF40861
30,DVU2326,DORF17147
31,gene_165,DORF41147
32,gene_168,DORF41366
33,gene_178,DORF42491
34,gene_188,DORF43224
35,gene_191,DORF43274
36,gene_192,DORF43335
37,gene_193,DORF43366
38,gene_195,DORF43423
39,gene_200,DORF43823
40,gene_206,DORF45242
41,gene_208,DORF45537
42,gene_215,DORF46408
43,gene_228,DORF47110
44,gene_230,DORF47312
45,gene_234,DORF1474
46,gene_241,DORF1985
47,gene_245,DORF2077
48,gene_247,DORF2111
49,gene_248,DORF2116
50,gene_250,DORF2161
51,gene_416,DORF2315
