Donor ID,Environment,Pan_ANME,Pan_SRB
Environment, ,NH3 [e0]; Sulfate [e0]; Methane [e0],
Pan_ANME,H2 [e0],,ETC matrix (uncharged) [e0]; H2O [e0]; H2S [e0]; D-Mannose [e0]
Pan_SRB,H2O [e0]; H2S [e0],ETC matrix (charged) [e0]; Sulfite [e0]; H+ [e0]; Pyruvate [e0]; Ethanol [e0],
