Metabolite/Donor ID,Environment,Species1,Species2,Species3,Species4
cpd00001_e0,-100.0,1.7398351636062334e-13,0.0,107.74821337831393,-7.748213378314114
cpd00006_e0,0.06884259607794757,0.0,0.0,-0.06884259607794756,0.0
cpd00007_e0,56.69740228606836,0.0,0.0,-53.434996653094004,-3.262405632974358
cpd00010_e0,0.04589506405196384,0.0,0.0,-0.04589506405196384,0.0
cpd00011_e0,-73.07065739158105,0.0,0.0,58.79763274731823,14.273024644262824
cpd00012_e0,-0.21228086958688766,0.0,0.0,0.21228086958688766,0.0
cpd00017_e0,0.06884259607794649,0.0,0.0,-0.06884259607794649,0.0
cpd00018_e0,0.8550735190558741,0.0,0.0,-0.8550735190558771,2.9536722480655345e-15
cpd00023_e0,2.087922058321567,0.0,0.0,-2.0879220583215665,0.0
cpd00027_e0,36.459533460007144,0.0,0.0,-29.323021137875728,-7.136512322131412
cpd00028_e0,0.022947532025982164,0.0,0.0,-0.022947532025982167,0.0
cpd00029_e0,-61.79344931296352,0.0,0.0,47.520424668700684,14.273024644262826
cpd00030_e0,0.022947532025982167,0.0,0.0,-0.022947532025982167,0.0
cpd00033_e0,4.100647657554559,0.0,0.0,-4.100647657554559,0.0
cpd00034_e0,0.022947532025982167,0.0,0.0,-0.022947532025982167,0.0
cpd00035_e0,3.7039842699151424,0.0,0.0,-3.703984269915143,0.0
cpd00038_e0,1.1072972662610538,0.0,0.0,-1.1072972662610538,0.0
cpd00039_e0,2.3341862467933914,0.0,0.0,-2.334186246793391,0.0
cpd00041_e0,1.642305768024683,0.0,0.0,-1.6423057680246833,0.0
cpd00046_e0,0.6877622771807785,0.0,0.0,-0.6877622771807784,0.0
cpd00047_e0,0.022947532025982174,0.0,0.0,-0.02294753202598217,0.0
cpd00048_e0,0.022947532025982167,0.0,0.0,-0.022947532025982167,0.0
cpd00051_e0,2.0173778170414067,0.0,0.0,-2.0173778170414067,0.0
cpd00053_e0,1.745711228338597,0.0,0.0,-1.745711228338597,0.0
cpd00054_e0,1.7451553373826942,0.0,0.0,-1.7451553373826942,0.0
cpd00058_e0,0.022947532025982164,0.0,0.0,-0.022947532025982167,0.0
cpd00060_e0,0.9992086065091985,0.0,0.0,-0.9992086065091984,0.0
cpd00063_e0,0.022947532025982167,0.0,0.0,-0.022947532025982167,0.0
cpd00065_e0,0.38599647762886025,0.0,0.0,-0.38599647762886025,0.0
cpd00066_e0,1.2635922428039108,0.0,0.0,-1.2635922428039106,0.0
cpd00067_e0,-100.00000000000206,0.0,0.0,41.68449931058543,58.315500689416666
cpd00069_e0,0.9868400512964229,0.0,0.0,-0.9868400512964229,0.0
cpd00084_e0,0.6226924308918408,0.0,0.0,-0.6226924308918407,0.0
cpd00091_e0,0.7657307913812227,0.0,0.0,-0.7657307913812227,0.0
cpd00099_e0,0.02294753202598216,0.0,0.0,-0.02294753202598216,0.0
cpd00100_e0,0.5093857902524643,0.0,0.0,-0.5093857902524643,0.0
cpd00104_e0,0.022947532025982167,0.0,0.0,-0.022947532025982167,0.0
