,GeneID,Function,OrganismID
0,0,cbiA,Candidatus_Desulfofervidaceae_sp._1
1,0,cbiA,Candidatus_Desulfofervidaceae_sp._2
2,0,cbiA,Desulfofervidales_sp._FWG156
3,0,cbiA,HotSeep1
4,0,cbiA,HotSeep1_B50
5,0,cbiA,HotSeep1_E37
6,0,cbiA,HotSeep1_E50
7,0,cbiA,HotSeep1_FWG170
8,"WP_163298422.1,WP_163299251.1,",cbiA,Dissulfurirhabdus_thermomarina_ASM1049943v1
9,"WP_163298422.1,WP_169755570.1,",cbiA,Dissulfurirhabdus_thermomarina_ASM1297923v1
10,"DIFG01000015.1_6,DIFG01000043.1_17,",cbiA,UBA5754_sp002419025
11,"PXF53767.1,PXF54501.1",cbiA,Seep-SRB2_sp._1_(str._G37)
12,"MBW2098732.1,",cbiA,Seep-SRB2_sp._1_(str._Meg22_1012_Bin_255)
13,"MBW1965788.1,MBW1967437.1,",cbiA,Seep-SRB2_sp._1_(str._Meg22_1214_Bin_80)
14,0,cbiA,Seep-SRB2_sp._1_(str._Meg22_1416_Bin_176)
15,"LWW99_11475,LWW99_02945,",cbiA,Seep-SRB2_sp._2_(str._FWG173)
16,"LWX01_06475,LWX01_01670,",cbiA,Seep-SRB2_sp._2_(str._FWG174)
17,"DFBQ01000159.1_11,DFBQ01000159.1_4,",cbiA,Seep-SRB2_sp._3_(str._002367355)
18,"PXF59691.1,PXF59684.1,",cbiA,Seep-SRB2_sp._4_(str._E20)
19,"RKX61901.1,RKX61581.1,",cbiA,Seep-SRB2_sp._5_(str._003645605)
20,"MBW2163207.1,MBW2163757.1,MBW2164520.1,",cbiA,Seep-SRB2_sp._6_(str._Meg22_02_Bin_69)
21,"OPL14453.1,",cbiA,Seep-SRB2_sp._7_(str._ML8_D)
22,"MBW2350784.1,",cbiA,Seep-SRB2_sp._8_(str._Meg19_1012_Bin_147)
23,"MBW2079519.1,",cbiA,Seep-SRB2_sp._8_(str._Meg22_1012_Bin_335)
24,"MBW1964552.1,",cbiA,Seep-SRB2_sp._8_(str._Meg22_1214_Bin_60)
25,"MBW1931634.1,",cbiA,Seep-SRB2_sp._8_(str._Meg22_1416_Bin_56)
26,"MBW1937674.1,",cbiA,Seep-SRB2_sp._8_(str._Meg22_1618_Bin_149)
27,"MBW1670771.1,",cbiA,Seep-SRB2_sp._8_(str._Meg22_46_Bin_87)
28,"MBW1718469.1,",cbiA,Seep-SRB2_sp._8_(str._Meg22_810_Bin_10)
29,"MBC8200238.1,",cbiA,JACNLL01_sp014381545
30,"NQT10767.1,",cbiA,JACNLL01_sp013202725
31,"RZB29601.1,RZB35086.1,",cbiA,Eth-SRB1_sp004193555
32,"MBW2660435.1,",cbiA,Eth-SRB1_sp019314185
33,"MBW2567986.1,",cbiA,Eth-SRB1_sp019313565
34,"MBA3018377.1,",cbiA,Seep-SRB1a_sp._1_(str._013792055)
35,"LWX51_03110,",cbiA,Seep-SRB1a_sp._2_(str._CR9063A)
36,"LWX08_13530,",cbiA,Seep-SRB1a_sp._2_(str._CR9063B)
37,"LWX02_03385,",cbiA,Seep-SRB1a_sp._2_(str._CR9063C)
38,"MBC2694557.1,",cbiA,Seep-SRB1a_sp._3_(str._014237195)
39,"MBC2718867.1,",cbiA,Seep-SRB1a_sp._3_(str._014237365)
40,0,cbiA,Seep-SRB1a_sp._4_(str._FWG171)
41,"LWW97_11240,LWW97_04710,",cbiA,Seep-SRB1a_sp._4_(str._FWG172)
42,0,cbiA,Seep-SRB1a_sp._5_(str._20073_SRB)
43,"HOAHELHK_00184,",cbiA,Seep-SRB1a_sp._5_(str._20074_SRB)
44,0,cbiA,Seep-SRB1a_sp._5_(str._S7142MS3)
45,0,cbiA,Seep-SRB1a_sp._5_(str._SM7059A)
46,"QMMZ01000018.1_6,",cbiA,Seep-SRB1a_sp._6_(str._003647525)
47,"MBW2737408.1,MBW2738695.1,",cbiA,Seep-SRB1a_sp._8_(str._AB_03_Bin_172)
48,0,cbiA,Seep-SRB1a_sp._9_(str._Meg22_02_Bin_90)
49,0,cbiA,Seep-SRB1a_sp._9_(str._Meg22_24_Bin_68)
50,0,cbiA,Seep-SRB1a_sp._9_(str._Meg22_46_Bin_236)
51,"OEU44900.1,",cbiA,S7086C20_sp001751075
52,"OEU80327.1,OEU80416.1,",cbiA,C00003060_sp001751085
53,"RLB81629.1,RLB81057.1,",cbiA,B60-G16_sp003647275
54,"RLB92306.1,RLC12922.1,RLC07267.1,RLC12405.1,",cbiA,B23-G16_sp003647435
55,"RLB92306.1,RLC12922.1,RLC07267.1,RLC12405.1,",cbiA,B23-G16_sp003647435
56,"tpgHID59137.1,tpgHID59585.1,",cbiA,DTYH01_sp012961955
57,"NVL90317.1,",cbiA,JABXJX01_sp013375375
58,"NVM21273.1,",cbiA,JABXJW01_sp013375395
59,0,cbiA,Seep-SRB1g_sp._AB_1215_Bin_34
60,"OEU59435.1,OEU59450.1,",cbiA,Seep-SRB1g_(str._C00003104)
61,"OEU52229.1,",cbiA,Seep-SRB1g_(str._C00003106)
62,"LWX52_03545,LWX52_14795,",cbiA,Seep-SRB1g_(str._CR10073A)
63,"LWX55_06245,LWX55_06355,",cbiA,Seep-SRB1g_(str._CR10073B)
64,"MBT9448388.1,",cbiA,Seep-SRB1g_(str._S7142MS4)
65,0,cobS,Candidatus_Desulfofervidaceae_sp._1
66,0,cobS,Candidatus_Desulfofervidaceae_sp._2
67,0,cobS,Desulfofervidales_sp._FWG156
68,AMM41127.1,cobS,HotSeep1
69,IEOPGEAI_00795,cobS,HotSeep1_B50
70,embCAD7777945.1,cobS,HotSeep1_E37
71,0,cobS,HotSeep1_E50
72,0,cobS,HotSeep1_FWG170
73,0,cobS,Dissulfurirhabdus_thermomarina_ASM1049943v1
74,0,cobS,Dissulfurirhabdus_thermomarina_ASM1297923v1
75,"DIFG01000052.1_42,",cobS,UBA5754_sp002419025
