,Environment,Pan_ANME,Pan_SRB
cpd00001,-8.618381774517362,-13.506613097958432,22.124994872475796
cpd00009,0.20578242215279816,-0.11012068271743482,-0.09566173943536334
cpd00011,0.0,-0.6492404157024623,0.6492404157024623
cpd00013,2.5117226931492307,-1.5300381262803313,-0.9816845668688995
cpd00020,0.0,4.546017970504541,-4.546017970504541
cpd00029,0.0,0.12856466551708096,-0.12856466551708096
cpd00030,0.000231572928745795,0.0,-0.00023157292874579496
cpd00034,0.000231572928745795,0.0,-0.00023157292874579496
cpd00047,0.0,0.08636714213204631,-0.08636714213204631
cpd00048,3.502219204751819,-3.3105401672780435,-0.1916790374737751
cpd00058,0.000231572928745795,0.0,-0.00023157292874579496
cpd00063,0.000231572928745795,0.0,-0.00023157292874579496
cpd00067,0.0,50.16087775719723,-50.160877757197206
cpd00081,0.0,7.194538912741978,-7.194538912741978
cpd00099,0.000231572928745795,0.0,-0.00023157292874579496
cpd00129,0.0,0.16074323725565862,-0.16074323725565862
cpd00138,0.0,-2.075474230771031,2.075474230771031
cpd00149,0.000231572928745795,0.0,-0.00023157292874579496
cpd00182,-0.00047970105935448614,0.0,0.00047970105935448614
cpd00205,0.000231572928745795,0.0,-0.00023157292874579496
cpd00239,-3.433920791394465,-3.940502517596127,7.3744233089905915
cpd00249,-0.0009097365131202855,0.0,0.0009097365131202855
cpd00254,0.000231572928745795,0.0,-0.00023157292874579496
cpd00276,0.0,0.018571267737151072,-0.018571267737151072
cpd00324,0.0,0.01808394064144435,-0.01808394064144435
cpd00363,0.0,1.6819860259199872,-1.6819860259199872
cpd00794,0.0,-0.0018786502021652656,0.001878650202165266
cpd00971,2.9150306326741827e-15,0.0,2.7755575615628914e-17
cpd01024,10.0,-10.0,0.0
cpd10515,0.000694718786237385,0.0,-0.000694718786237385
cpd10516,0.000231572928745795,0.0,-0.00023157292874579496
cpd11640,-4.865248344209709,4.865248344209709,0.0
cpdETCM,0.0,-46.053392984743304,46.053392984743304
cpdETCMe,0.0,46.053392984743304,-46.053392984743304
zz_Environment,0.0,14.95069897627581,1.2718042189229881
zz_Species1,4.865248344209709,0.0,66.22710189697352
zz_Species2,12.053692003484302,110.04914390439039,0.0
