short_codes,Time (s),values,experiment_IDs
Z24,15.133,0.063059888780117,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,609.803,0.0616158597171307,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,1202.401,0.0616945534944534,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,1794.991,0.0612318813800812,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,2387.598,0.0593316428363323,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,2980.169,0.0586930371820927,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,3572.732,0.0579973354935646,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,4165.294,0.0676716595888138,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,4757.839,0.0664152055978775,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,5350.366,0.0670118257403374,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,5942.901,0.0659636065363884,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,6535.464,0.0665413126349449,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,7128.026,0.066038604080677,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,7720.571,0.0664976984262466,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,8313.116,0.0654355764389038,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,8905.678,0.0643997550010681,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,9498.214,0.0648126199841499,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,10090.776,0.0656732633709907,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,10683.339,0.0643430545926094,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,11275.883,0.0606383629143238,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,11868.473,0.0677607879042625,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,12461.035,0.0690881624817848,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,13053.598,0.0713538035750389,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,13646.133,0.070508998632431,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,14238.714,0.0781841546297073,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,14831.258,0.0664772406220436,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,15423.821,0.0716095998883247,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,16016.33,0.0741305038332939,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,16608.91,0.0777990013360977,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,17201.428,0.071447080373764,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,17793.982,0.0733194530010223,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,18386.5,0.0720684587955475,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,18979.035,0.079087170958519,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,19571.607,0.0806038618087769,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,20164.16,0.0790976941585541,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,20756.714,0.0793552577495575,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,21349.267,0.0787890926003456,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,21941.839,0.0736548081040382,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,22534.375,0.0760596245527267,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,23126.964,0.0767823487520218,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,23719.553,0.0789720520377159,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,24312.071,0.0800445213913918,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,24904.651,0.0816482305526733,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,25497.205,0.0824375540018082,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,26089.714,0.0854863300919533,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,26682.267,0.0986066147685051,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,27274.794,0.123654115200043,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,27867.33,0.127839839458466,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,28459.875,0.129131135344505,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,29052.41,0.134168875217438,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,29644.946,0.134641900658607,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,30237.482,0.132759845256805,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,30830.026,0.133452987670898,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,31422.571,0.136305487155914,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,32015.125,0.131347966194153,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,32607.705,0.132213854789734,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,33200.258,0.135810834169388,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,33792.803,0.134525123238564,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,34385.33,0.135803329944611,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,34977.857,0.133243122696877,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,35570.401,0.137816059589386,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,36162.964,0.134585100412369,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,36755.553,0.131754383444786,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,37348.053,0.134307044744492,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,37940.607,0.134848880767822,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,38533.151,0.136122557520866,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,39125.705,0.137276631593704,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,39718.258,0.138846123218536,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,40310.848,0.133234483003616,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,40903.339,0.137327036261559,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,41495.91,0.138114452362061,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,42088.473,0.139359647035599,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,42681.017,0.138265722990036,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,43273.544,0.14108402132988,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,43866.053,0.1370934933424,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,44458.589,0.138889169692993,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
