rxn,ecoli_acetate,ecoli_malt,ecoli_stationary,pf_acetate,pf_4HB,pf_stationary
EX_cpd00007_e0,-1.42628531,0,0,0,0,0
EX_cpd00009_e0,0,2.141726212,0,-1.642761377,-1.443896386,0
EX_cpd00011_e0,3.748290692,0,0,33.59322252,24.65041813,0
EX_cpd00013_e0,0,0,0,-5.66768104,-4.981787829,0
EX_cpd00029_e0,-1,1.99904213,0,-1,0,0
EX_cpd00030_e0,-0.000102698,-0.000150471,0,0,0,0
EX_cpd00034_e0,-5.07E-05,-7.43E-05,0,0,0,0
EX_cpd00036_e0,0,0.227077254,0,82.578584,63.07183808,0
EX_cpd00047_e0,2.598036517,5.167541922,0,0,0,0
EX_cpd00048_e0,0,-0.05483605,0,0,0,0
EX_cpd00058_e0,0,-0.000154391,0,0,0,0
EX_cpd00063_e0,-0.000773581,-0.001133435,0,0,0,0
EX_cpd00067_e0,0,10.41261818,0,0,0,0
EX_cpd00099_e0,-0.000773581,-0.001133435,0,0,0,0
EX_cpd00116_e0,3.594775663,4.36E-07,0,0,0,0
EX_cpd00136_e0,0,0,0,0,-1,0
EX_cpd00149_e0,-3.72E-06,-5.44E-06,0,-4.60E-19,0,0
EX_cpd00164_e0,2.015750354,0,0,0,0,0
EX_cpd00179_e0,0,-1,0,0,0,0
EX_cpd00205_e0,-0.02901009,-0.042505016,0,0,0,0
EX_cpd00244_e0,-4.80E-05,-7.03E-05,0,0,0,0
EX_cpd00254_e0,-0.001289301,-0.001889059,0,0,0,0
EX_cpd00288_e0,-0.143362247,0,0,0,0,0
EX_cpd00418_e0,-1.424323009,0,0,0,0,0
EX_cpd00453_e0,0,5.06E-18,0,0,0,0
EX_cpd00587_e0,-0.037426142,0,0,0,0,0
EX_cpd01113_e0,0,0.797727976,0,0,0,0
EX_cpd01861_e0,0,0.484829884,0,0,0,0
EX_cpd03725_e0,0,-0.001700262,0,0,0,0
EX_cpd08023_e0,0,0,0,-0.385638456,-0.338954873,0
EX_cpd11574_e0,-1.04E-06,-1.52E-06,0,0,0,0
EX_cpd15432_e0,0,2.27E-18,0,0,0,0
EX_cpd15468_e0,0,-2.351777767,0,0,0,0
EX_cpd30760_e0,-0.000105373,0,0,0,0,0
EX_metglcur-e_e0,-3.594775366,0,0,0,0,0
bio,0.148622596,0.217758915,0,0.119281923,0.104842212,0
