short_codes,trial_IDs,Time (s),Raw_OD(590),mNeonGreen,mRuby
G4,r1_ecoli_mRuby-r10_pf-5_ecoli,1.0746666666666667,0.0728860273957253,22506.0,1353.0
G4,r1_ecoli_mRuby-r10_pf-5_ecoli,597.2086666666668,0.074225777387619,22901.0,1370.0
G4,r1_ecoli_mRuby-r10_pf-5_ecoli,1189.0866666666668,0.0680086866021156,22250.0,1384.0
G4,r1_ecoli_mRuby-r10_pf-5_ecoli,1781.5713333333333,0.0683489546179771,22252.0,1411.0
G4,r1_ecoli_mRuby-r10_pf-5_ecoli,2374.0506666666665,0.0679529413580895,21821.0,1439.0
G4,r1_ecoli_mRuby-r10_pf-5_ecoli,2966.5716666666667,0.0708514049649239,22275.0,1347.0
G4,r1_ecoli_mRuby-r10_pf-5_ecoli,3558.9016666666666,0.0674264430999756,21742.0,1375.0
G4,r1_ecoli_mRuby-r10_pf-5_ecoli,4151.333666666666,0.0680576786398888,21604.0,1422.0
G4,r1_ecoli_mRuby-r10_pf-5_ecoli,4743.744,0.0687026455998421,21336.0,1428.0
G4,r1_ecoli_mRuby-r10_pf-5_ecoli,5336.181666666666,0.0671860441565514,20968.0,1347.0
G4,r1_ecoli_mRuby-r10_pf-5_ecoli,5928.645666666666,0.0673592820763588,21034.0,1360.0
G4,r1_ecoli_mRuby-r10_pf-5_ecoli,6521.083666666666,0.0668157368898392,21706.0,1427.0
G4,r1_ecoli_mRuby-r10_pf-5_ecoli,7113.571666666667,0.0736005201935768,21494.0,1286.0
G4,r1_ecoli_mRuby-r10_pf-5_ecoli,7706.017666666667,0.0713366821408272,21978.0,1375.0
G4,r1_ecoli_mRuby-r10_pf-5_ecoli,8298.506333333333,0.0725737690925598,21607.0,1365.0
G4,r1_ecoli_mRuby-r10_pf-5_ecoli,8891.003333333334,0.0728402361273766,21815.0,1404.0
G4,r1_ecoli_mRuby-r10_pf-5_ecoli,9483.494333333334,0.0757925823330879,21014.0,1414.0
G4,r1_ecoli_mRuby-r10_pf-5_ecoli,10075.937333333333,0.0736597001552582,20857.0,1313.0
G4,r1_ecoli_mRuby-r10_pf-5_ecoli,10668.410666666668,0.0751522839069367,20885.0,1413.0
G4,r1_ecoli_mRuby-r10_pf-5_ecoli,11260.878333333334,0.07503522336483,20789.0,1365.0
G4,r1_ecoli_mRuby-r10_pf-5_ecoli,11853.321666666669,0.0750186234712601,20748.0,1350.0
G4,r1_ecoli_mRuby-r10_pf-5_ecoli,12445.779666666667,0.0735610201954842,20335.0,1360.0
G4,r1_ecoli_mRuby-r10_pf-5_ecoli,13038.226,0.0759166121482849,20594.0,1453.0
G4,r1_ecoli_mRuby-r10_pf-5_ecoli,13630.723333333333,0.074845452606678,20373.0,1407.0
G4,r1_ecoli_mRuby-r10_pf-5_ecoli,14223.160666666665,0.074085445702076,20665.0,1534.0
G4,r1_ecoli_mRuby-r10_pf-5_ecoli,14815.625333333335,0.0726058378815651,20163.0,1427.0
G4,r1_ecoli_mRuby-r10_pf-5_ecoli,15408.077333333335,0.0738212525844574,20171.0,1443.0
G4,r1_ecoli_mRuby-r10_pf-5_ecoli,16000.482333333333,0.0763422518968582,20065.0,1517.0
G4,r1_ecoli_mRuby-r10_pf-5_ecoli,16592.97033333333,0.0764836087822914,19959.0,1442.0
G4,r1_ecoli_mRuby-r10_pf-5_ecoli,17185.455333333335,0.0746601074934006,19839.0,1529.0
G4,r1_ecoli_mRuby-r10_pf-5_ecoli,17777.925333333336,0.0743228316307068,19983.0,1544.0
G4,r1_ecoli_mRuby-r10_pf-5_ecoli,18370.414,0.0764509126543999,19923.0,1552.0
G4,r1_ecoli_mRuby-r10_pf-5_ecoli,18962.893,0.0763879209756851,19754.0,1560.0
G4,r1_ecoli_mRuby-r10_pf-5_ecoli,19555.393,0.0773039594292641,19541.0,1671.0
G4,r1_ecoli_mRuby-r10_pf-5_ecoli,20147.895999999997,0.0755191668868065,19140.0,1595.0
G4,r1_ecoli_mRuby-r10_pf-5_ecoli,20740.324333333334,0.076790426671505,19102.0,1675.0
G4,r1_ecoli_mRuby-r10_pf-5_ecoli,21332.827,0.0747757732868195,18955.0,1717.0
G4,r1_ecoli_mRuby-r10_pf-5_ecoli,21925.265,0.0753376856446266,18677.0,1791.0
G4,r1_ecoli_mRuby-r10_pf-5_ecoli,22517.744333333336,0.0749927267432213,18902.0,1763.0
G4,r1_ecoli_mRuby-r10_pf-5_ecoli,23110.23833333333,0.0784823298454285,18773.0,1843.0
G4,r1_ecoli_mRuby-r10_pf-5_ecoli,23702.663666666664,0.0785537675023079,18869.0,1853.0
G4,r1_ecoli_mRuby-r10_pf-5_ecoli,24295.152000000002,0.0783179074525833,18912.0,2022.0
G4,r1_ecoli_mRuby-r10_pf-5_ecoli,24887.622000000003,0.0770137101411819,18826.0,2070.0
G4,r1_ecoli_mRuby-r10_pf-5_ecoli,25480.074333333334,0.0784107938408852,18665.0,2054.0
G4,r1_ecoli_mRuby-r10_pf-5_ecoli,26072.539,0.0785230174660683,18917.0,2200.0
G4,r1_ecoli_mRuby-r10_pf-5_ecoli,26665.020999999997,0.0779180482029915,18817.0,2322.0
G4,r1_ecoli_mRuby-r10_pf-5_ecoli,27257.47333333333,0.0785171940922737,18760.0,2359.0
G4,r1_ecoli_mRuby-r10_pf-5_ecoli,27849.937666666665,0.0815583482384682,18905.0,2330.0
G4,r1_ecoli_mRuby-r10_pf-5_ecoli,28442.363,0.0828515917062759,18698.0,2456.0
G4,r1_ecoli_mRuby-r10_pf-5_ecoli,29034.854000000003,0.0834047138690948,18731.0,2676.0
G4,r1_ecoli_mRuby-r10_pf-5_ecoli,29627.342333333334,0.0830903485417366,18721.0,2715.0
G4,r1_ecoli_mRuby-r10_pf-5_ecoli,30219.803666666663,0.0843701064586639,18959.0,2821.0
G4,r1_ecoli_mRuby-r10_pf-5_ecoli,30812.229333333333,0.0845093086361885,18633.0,2827.0
G4,r1_ecoli_mRuby-r10_pf-5_ecoli,31404.67866666667,0.0850631341338158,18536.0,3002.0
G4,r1_ecoli_mRuby-r10_pf-5_ecoli,31997.089333333337,0.0865623965859413,18646.0,3137.0
G4,r1_ecoli_mRuby-r10_pf-5_ecoli,32589.586333333336,0.0869543790817261,18971.0,3247.0
G4,r1_ecoli_mRuby-r10_pf-5_ecoli,33182.018000000004,0.0879029974341392,18677.0,3327.0
G4,r1_ecoli_mRuby-r10_pf-5_ecoli,33774.419666666676,0.0892032533884048,18665.0,3524.0
G4,r1_ecoli_mRuby-r10_pf-5_ecoli,34366.85133333333,0.0900224611163139,18081.0,3669.0
G4,r1_ecoli_mRuby-r10_pf-5_ecoli,34959.34533333333,0.0942444443702698,18102.0,3667.0
G4,r1_ecoli_mRuby-r10_pf-5_ecoli,35551.777,0.0932997897267342,17286.0,3760.0
G4,r1_ecoli_mRuby-r10_pf-5_ecoli,36144.28866666667,0.0942462980747223,17555.0,3901.0
G4,r1_ecoli_mRuby-r10_pf-5_ecoli,36736.759,0.0969451993703842,17485.0,4037.0
G4,r1_ecoli_mRuby-r10_pf-5_ecoli,37329.214,0.096226666867733,17631.0,4317.0
G4,r1_ecoli_mRuby-r10_pf-5_ecoli,37921.625,0.0984014421701431,17310.0,4467.0
G4,r1_ecoli_mRuby-r10_pf-5_ecoli,38514.143000000004,0.103344896435738,17358.0,4767.0
G4,r1_ecoli_mRuby-r10_pf-5_ecoli,39106.57433333333,0.104250292479992,17558.0,4845.0
G4,r1_ecoli_mRuby-r10_pf-5_ecoli,39699.041666666664,0.105673758685589,17567.0,5169.0
G4,r1_ecoli_mRuby-r10_pf-5_ecoli,40291.506,0.109770165383816,17502.0,5375.0
