,trial_IDs,short_code,base_media,additional_compounds,strains,date
0,r1_pf-5_ecoli,G1,93465/19/1,cpd00179:5:5,ecoli_mRuby:r0;pf:r1,"Apr 29, 22"
1,r1_ecoli_mRuby-r50_pf-5_ecoli,G2,93465/19/1,cpd00179:5:5,ecoli_mRuby:r1;pf:r50,"Apr 29, 22"
2,r1_ecoli_mRuby-r20_pf-5_ecoli,G3,93465/19/1,cpd00179:5:5,ecoli_mRuby:r1;pf:r20,"Apr 29, 22"
3,r1_ecoli_mRuby-r10_pf-5_ecoli,G4,93465/19/1,cpd00179:5:5,ecoli_mRuby:r1;pf:r10,"Apr 29, 22"
4,r1_ecoli_mRuby-r3_pf-5_ecoli,G5,93465/19/1,cpd00179:5:5,ecoli_mRuby:r1;pf:r3,"Apr 29, 22"
5,r1_ecoli_mRuby-r1_pf-5_ecoli,G6,93465/19/1,cpd00179:5:5,ecoli_mRuby:r1;pf:r1,"Apr 29, 22"
6,r3_ecoli_mRuby-r1_pf-5_ecoli,G7,93465/19/1,cpd00179:5:5,ecoli_mRuby:r3;pf:r1,"Apr 29, 22"
7,r10_ecoli_mRuby-r1_pf-5_ecoli,G8,93465/19/1,cpd00179:5:5,ecoli_mRuby:r10;pf:r1,"Apr 29, 22"
8,r20_ecoli_mRuby-r1_pf-5_ecoli,G9,93465/19/1,cpd00179:5:5,ecoli_mRuby:r20;pf:r1,"Apr 29, 22"
9,r1_ecoli_mRuby-5_ecoli,G10,93465/19/1,cpd00179:5:5,ecoli_mRuby:r1;pf:r0,"Apr 29, 22"
10,5_ecoli,G11,93465/19/1,cpd00179:5:5,ecoli_mRuby:r0;pf:r0,"Apr 29, 22"
11,r1_pf-5_ecoli,G12,93465/19/1,cpd00179:5:5,ecoli_ACS:r0;pf:r1,"Apr 29, 22"
12,r1_ecoli_ACS-r50_pf-5_ecoli,G13,93465/19/1,cpd00179:5:5,ecoli_ACS:r1;pf:r50,"Apr 29, 22"
13,r1_ecoli_ACS-r20_pf-5_ecoli,G14,93465/19/1,cpd00179:5:5,ecoli_ACS:r1;pf:r20,"Apr 29, 22"
14,r1_ecoli_ACS-r10_pf-5_ecoli,G15,93465/19/1,cpd00179:5:5,ecoli_ACS:r1;pf:r10,"Apr 29, 22"
15,r1_ecoli_ACS-r3_pf-5_ecoli,G16,93465/19/1,cpd00179:5:5,ecoli_ACS:r1;pf:r3,"Apr 29, 22"
16,r1_ecoli_ACS-r1_pf-5_ecoli,G17,93465/19/1,cpd00179:5:5,ecoli_ACS:r1;pf:r1,"Apr 29, 22"
17,r3_ecoli_ACS-r1_pf-5_ecoli,G18,93465/19/1,cpd00179:5:5,ecoli_ACS:r3;pf:r1,"Apr 29, 22"
18,r10_ecoli_ACS-r1_pf-5_ecoli,G19,93465/19/1,cpd00179:5:5,ecoli_ACS:r10;pf:r1,"Apr 29, 22"
19,r20_ecoli_ACS-r1_pf-5_ecoli,G20,93465/19/1,cpd00179:5:5,ecoli_ACS:r20;pf:r1,"Apr 29, 22"
20,r1_ecoli_ACS-5_ecoli,G21,93465/19/1,cpd00179:5:5,ecoli_ACS:r1;pf:r0,"Apr 29, 22"
21,5_ecoli,G22,93465/19/1,cpd00179:5:5,ecoli_ACS:r0;pf:r0,"Apr 29, 22"
22,r1_pf-1_pf-5_ecoli,G23,93465/19/1,cpd00136:1:1;cpd00179:5:5,ecoli_mRuby:r0;pf:r1,"Apr 29, 22"
23,r1_ecoli_mRuby-r50_pf-1_pf-5_ecoli,G24,93465/19/1,cpd00136:1:1;cpd00179:5:5,ecoli_mRuby:r1;pf:r50,"Apr 29, 22"
24,r1_ecoli_mRuby-r20_pf-1_pf-5_ecoli,G25,93465/19/1,cpd00136:1:1;cpd00179:5:5,ecoli_mRuby:r1;pf:r20,"Apr 29, 22"
