Gene	WT_20nM/5uM	pdxBJ_20nM/5uM	pdxBJ/WT_20nM
b0241	-0.903871103	-0.523639415	0.429627306
b0929	0.470065903	-1.366947595	-1.360493472
b1377	-0.472060634	0.327076275	1.148617799
b2215	0.180532993	-0.433848486	-1.481278919
b0241	-0.903871103	-0.523639415	0.429627306
b0929	0.470065903	-1.366947595	-1.360493472
b1377	-0.472060634	0.327076275	1.148617799
b2215	0.180532993	-0.433848486	-1.481278919
b3011	0.505197185	-2.458422518	-4.454538563
b4032	0.365676264	0.107107808	-0.18274869
b4033	0.571070056	-0.003811895	-0.333312751
b4034	0.582496253	-0.971483584	-1.562916513
b4035	0.419301485	-0.969497413	-1.45376673
b4036	0.692777847	-0.758056756	-1.392763349
b0241	-0.903871103	-0.523639415	0.429627306
b0929	0.470065903	-1.366947595	-1.360493472
b1377	-0.472060634	0.327076275	1.148617799
b2215	0.180532993	-0.433848486	-1.481278919
b0241	-0.903871103	-0.523639415	0.429627306
b0929	0.470065903	-1.366947595	-1.360493472
b1377	-0.472060634	0.327076275	1.148617799
b2215	0.180532993	-0.433848486	-1.481278919
b0241	-0.903871103	-0.523639415	0.429627306
b0929	0.470065903	-1.366947595	-1.360493472
b1377	-0.472060634	0.327076275	1.148617799
b2215	0.180532993	-0.433848486	-1.481278919
b0241	-0.903871103	-0.523639415	0.429627306
b0929	0.470065903	-1.366947595	-1.360493472
b1377	-0.472060634	0.327076275	1.148617799
b2215	0.180532993	-0.433848486	-1.481278919
b0241	-0.903871103	-0.523639415	0.429627306
b0929	0.470065903	-1.366947595	-1.360493472
b1377	-0.472060634	0.327076275	1.148617799
b2215	0.180532993	-0.433848486	-1.481278919
b3577	-3.439979969	-0.013942945	1.479614394
b3578	-2.45507434	0.147694613	0.901537291
b3579	-2.738358448	-0.843918706	0.416425119
b4213	0.307535723	-0.007158276	-0.011436802
b4213	0.307535723	-0.007158276	-0.011436802
b4213	0.307535723	-0.007158276	-0.011436802
b4213	0.307535723	-0.007158276	-0.011436802
b0241	-0.903871103	-0.523639415	0.429627306
b0929	0.470065903	-1.366947595	-1.360493472
b1377	-0.472060634	0.327076275	1.148617799
b2215	0.180532993	-0.433848486	-1.481278919
b2835	0.001528932	-0.294963982	-0.034199055
b2835	0.001528932	-0.294963982	-0.034199055
b2835	0.001528932	-0.294963982	-0.034199055
b2835	0.001528932	-0.294963982	-0.034199055
b2835	0.001528932	-0.294963982	-0.034199055
b2835	0.001528932	-0.294963982	-0.034199055
b2835	0.001528932	-0.294963982	-0.034199055
b2835	0.001528932	-0.294963982	-0.034199055
b2835	0.001528932	-0.294963982	-0.034199055
b2835	0.001528932	-0.294963982	-0.034199055
b2835	0.001528932	-0.294963982	-0.034199055
b2835	0.001528932	-0.294963982	-0.034199055
b2835	0.001528932	-0.294963982	-0.034199055
b2835	0.001528932	-0.294963982	-0.034199055
b2836	0.33622847	-0.265650145	-0.271772237
b2836	0.33622847	-0.265650145	-0.271772237
b2836	0.33622847	-0.265650145	-0.271772237
b2836	0.33622847	-0.265650145	-0.271772237
b2836	0.33622847	-0.265650145	-0.271772237
b2836	0.33622847	-0.265650145	-0.271772237
b2836	0.33622847	-0.265650145	-0.271772237
b2835	0.001528932	-0.294963982	-0.034199055
b2835	0.001528932	-0.294963982	-0.034199055
b2835	0.001528932	-0.294963982	-0.034199055
b2835	0.001528932	-0.294963982	-0.034199055
b2835	0.001528932	-0.294963982	-0.034199055
b2835	0.001528932	-0.294963982	-0.034199055
b2835	0.001528932	-0.294963982	-0.034199055
b2836	0.33622847	-0.265650145	-0.271772237
b2836	0.33622847	-0.265650145	-0.271772237
b2836	0.33622847	-0.265650145	-0.271772237
b2836	0.33622847	-0.265650145	-0.271772237
b2836	0.33622847	-0.265650145	-0.271772237
b2836	0.33622847	-0.265650145	-0.271772237
b2836	0.33622847	-0.265650145	-0.271772237
b0268	-0.280367762	-0.082386728	-0.880547958
b4298	-0.064592162	0.189158351	0.327462404
b1817	0.299921756	0.133954307	-0.830544155
b1818	0.312745714	-0.150419112	-0.983504143
b1819	0.247793305	-0.318972856	-1.071781326
b2415	0.275929316	0.065712667	-0.266131736
b2416	0.241073785	-0.10224412	-0.713379671
b0241	-0.903871103	-0.523639415	0.429627306
b0929	0.470065903	-1.366947595	-1.360493472
b1377	-0.472060634	0.327076275	1.148617799
b2215	0.180532993	-0.433848486	-1.481278919
b3553	0.528145387	-0.168463355	-0.022835121
b3553	0.528145387	-0.168463355	-0.022835121
b3553	0.528145387	-0.168463355	-0.022835121
b3553	0.528145387	-0.168463355	-0.022835121
b0446	0.076394179	0.139269842	0.189798469
b1727	0.243449883	-0.131475042	-0.079768486
b2293	0.340099806	0.104337725	0.600181041
b3826	0.346148398	0.375524245	0.008030165
b2302	0.30570117	0.562077867	0.608175795
b2989	0.173420939	-0.109283353	-0.553327835
b1400	0.015494236	0.156001738	0.063877138
b0446	0.076394179	0.139269842	0.189798469
b1134	0.281704808	0.394972463	-0.114157189
b0241	-0.903871103	-0.523639415	0.429627306
b0929	0.470065903	-1.366947595	-1.360493472
b1377	-0.472060634	0.327076275	1.148617799
b2215	0.180532993	-0.433848486	-1.481278919
b1009	-1.163109537	-0.986742692	-0.101631871
b0241	-0.903871103	-0.523639415	0.429627306
b0929	0.470065903	-1.366947595	-1.360493472
b1377	-0.472060634	0.327076275	1.148617799
b2215	0.180532993	-0.433848486	-1.481278919
b0241	-0.903871103	-0.523639415	0.429627306
b0929	0.470065903	-1.366947595	-1.360493472
b1377	-0.472060634	0.327076275	1.148617799
b2215	0.180532993	-0.433848486	-1.481278919
