short_codes,Time (s),values,experiment_IDs
Z24,4.839,22127.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,598.562,21314.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,1191.133,21291.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,1783.714,21134.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,2376.33,20788.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,2968.892,20835.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,3561.464,20562.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,4154.008,21133.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,4746.544,20724.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,5339.08,20361.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,5931.598,20389.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,6524.169,20612.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,7116.732,20261.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,7709.285,20193.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,8301.821,19899.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,8894.375,20041.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,9486.937,20273.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,10079.473,20782.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,10672.035,20417.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,11264.589,20711.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,11857.169,20719.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,12449.75,20486.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,13042.285,22960.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,13634.83,22371.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,14227.392,51702.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,14819.955,54600.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,15412.508,40602.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,16004.991,46822.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,16597.553,45400.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,17190.098,41581.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,17782.66,34050.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,18375.16,27594.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,18967.696,42288.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,19560.241,44794.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,20152.803,42425.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,20745.348,39070.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,21337.91,29484.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,21930.482,25678.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,22523.008,29999.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,23115.616,26586.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,23708.196,22537.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,24300.714,21412.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,24893.258,21488.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,25485.866,24802.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,26078.33,26713.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,26670.883,31064.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,27263.392,40890.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,27855.919,45776.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,28448.446,48100.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,29040.982,48871.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,29633.464,50808.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,30226.0,51580.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,30818.544,51586.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,31411.08,51983.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,32003.598,52222.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,32596.187,50971.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,33188.741,52972.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,33781.276,52946.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,34373.794,52464.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,34966.294,53189.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,35558.821,52742.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,36151.375,53245.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,36743.946,52708.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,37336.455,53872.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,37928.991,54014.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,38521.544,54839.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
