short_codes,Time (s),values,experiment_IDs
Z24,4.839,133.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,598.714,132.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,1191.16,123.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,1783.732,151.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,2376.357,78.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,2968.919,113.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,3561.491,110.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,4154.053,98.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,4746.571,127.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,5339.134,116.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,5931.625,145.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,6524.196,107.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,7116.759,137.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,7709.303,170.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,8301.857,159.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,8894.437,149.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,9486.973,155.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,10079.491,137.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,10672.062,168.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,11264.607,162.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,11857.223,148.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,12449.776,184.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,13042.312,178.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,13634.857,186.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,14227.437,142.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,14819.973,188.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,15412.473,195.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,16004.946,190.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,16597.509,192.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,17190.053,142.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,17782.58,177.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,18375.08,183.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,18967.607,221.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,19560.187,188.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,20152.741,243.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,20745.33,187.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,21337.875,221.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,21930.446,186.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,22523.018,163.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,23115.598,217.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,23708.143,222.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,24300.678,206.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,24893.268,210.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,25485.848,186.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,26078.303,231.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
Z24,26670.848,242.0,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB
