rxn,ecoli_acetate,ecoli_malt,ecoli_stationary
EX_cpd00001_e0,4.544367282646204,1.6783639679265816,0
EX_cpd00007_e0,-2.035609330508817,-0.6452599184046061,0
EX_cpd00009_e0,-0.07625410303808028,-0.07625410303808444,0
EX_cpd00011_e0,2.388150567228914,0.16754747887145066,0
EX_cpd00013_e0,-0.8611666496308492,-0.8611666496308581,0
EX_cpd00029_e0,-3.069851449203071,1.0816857751712323,0
EX_cpd00030_e0,-0.000280615915959131,-0.000280615915959131,0
EX_cpd00034_e0,-0.000280615915959131,-0.000280615915959131,0
EX_cpd00047_e0,0.0,1.6606476604641285,0
EX_cpd00048_e0,-0.022639718807314566,-0.022639718807340187,0
EX_cpd00058_e0,-0.000280615915959131,-0.000280615915959131,0
EX_cpd00063_e0,-0.000280615915959131,-0.000280615915959131,0
EX_cpd00067_e0,-2.4173946313697083,3.3950708693838254,0
EX_cpd00099_e0,-0.00028061591595913103,-0.00028061591595913103,0
EX_cpd00108_e0,0.0,-7.61337048451759e-15,0
EX_cpd00116_e0,0.00028061591595913114,0.00028061591595913114,0
EX_cpd00149_e0,-0.00028061591595913103,-0.00028061591595913103,0
EX_cpd00179_e0,0.0,-0.6452599184046061,0
EX_cpd00205_e0,-0.000280615915959131,-0.000280615915959131,0
EX_cpd00254_e0,-0.000280615915959131,-0.000280615915959131,0
EX_cpd08023_e0,0.0,2.534613486223092e-14,0
EX_cpd10515_e0,-0.0011224636630457246,-0.0008418477478773931,0
EX_cpd10516_e0,-7.90799310985825e-13,-0.0002806159159591311,0
EX_cpd15378_e0,0.000280615915959131,0.000280615915959131,0
bio,0.1,0.1,0
