short_codes,Time (s),values,strain,experiment_IDs
Y27,5.464,17979.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,602.116,17609.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,1193.991,17653.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,1786.464,17445.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,2378.955,17702.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,2971.482,17501.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,3563.803,17452.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,4156.232,17860.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,4748.634,17658.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,5341.071,17995.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,5933.536,18606.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,6525.964,18461.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,7118.446,18698.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,7710.884,18814.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,8303.375,19399.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,8895.857,19478.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,9488.348,19671.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,10080.795,19915.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,10673.241,20460.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,11265.723,20978.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,11858.17,21395.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,12450.616,22216.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,13043.045,22423.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,13635.536,22652.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,14227.982,23232.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,14820.42,24365.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,15412.875,24874.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
Y27,16005.268,24275.0,mNeonGreen,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB
