,trial_IDs,short_code,base_media,additional_compounds,strains,date
0,r1_pf-5_ecoli,A1,93465/19/1,cpd00179:5:5,ecoli_mRuby:r0;pf:r1,29-4-22
1,r1_ecoli_mRuby-r50_pf-5_ecoli,A2,93465/19/1,cpd00179:5:5,ecoli_mRuby:r1;pf:r50,29-4-22
2,r1_ecoli_mRuby-r20_pf-5_ecoli,A3,93465/19/1,cpd00179:5:5,ecoli_mRuby:r1;pf:r20,29-4-22
3,r1_ecoli_mRuby-r10_pf-5_ecoli,A4,93465/19/1,cpd00179:5:5,ecoli_mRuby:r1;pf:r10,29-4-22
4,r1_ecoli_mRuby-r3_pf-5_ecoli,A5,93465/19/1,cpd00179:5:5,ecoli_mRuby:r1;pf:r3,29-4-22
5,r1_ecoli_mRuby-r1_pf-5_ecoli,A6,93465/19/1,cpd00179:5:5,ecoli_mRuby:r1;pf:r1,29-4-22
6,r3_ecoli_mRuby-r1_pf-5_ecoli,A7,93465/19/1,cpd00179:5:5,ecoli_mRuby:r3;pf:r1,29-4-22
7,r10_ecoli_mRuby-r1_pf-5_ecoli,A8,93465/19/1,cpd00179:5:5,ecoli_mRuby:r10;pf:r1,29-4-22
8,r20_ecoli_mRuby-r1_pf-5_ecoli,A9,93465/19/1,cpd00179:5:5,ecoli_mRuby:r20;pf:r1,29-4-22
9,r1_ecoli_mRuby-5_ecoli,A10,93465/19/1,cpd00179:5:5,ecoli_mRuby:r1;pf:r0,29-4-22
10,5_ecoli,A11,93465/19/1,cpd00179:5:5,ecoli_mRuby:r0;pf:r0,29-4-22
11,r1_pf-5_ecoli,A12,93465/19/1,cpd00179:5:5,ecoli_ACS:r0;pf:r1,29-4-22
12,r1_ecoli_ACS-r50_pf-5_ecoli,A13,93465/19/1,cpd00179:5:5,ecoli_ACS:r1;pf:r50,29-4-22
13,r1_ecoli_ACS-r20_pf-5_ecoli,A14,93465/19/1,cpd00179:5:5,ecoli_ACS:r1;pf:r20,29-4-22
14,r1_ecoli_ACS-r10_pf-5_ecoli,A15,93465/19/1,cpd00179:5:5,ecoli_ACS:r1;pf:r10,29-4-22
15,r1_ecoli_ACS-r3_pf-5_ecoli,A16,93465/19/1,cpd00179:5:5,ecoli_ACS:r1;pf:r3,29-4-22
16,r1_ecoli_ACS-r1_pf-5_ecoli,A17,93465/19/1,cpd00179:5:5,ecoli_ACS:r1;pf:r1,29-4-22
17,r3_ecoli_ACS-r1_pf-5_ecoli,A18,93465/19/1,cpd00179:5:5,ecoli_ACS:r3;pf:r1,29-4-22
18,r10_ecoli_ACS-r1_pf-5_ecoli,A19,93465/19/1,cpd00179:5:5,ecoli_ACS:r10;pf:r1,29-4-22
19,r20_ecoli_ACS-r1_pf-5_ecoli,A20,93465/19/1,cpd00179:5:5,ecoli_ACS:r20;pf:r1,29-4-22
20,r1_ecoli_ACS-5_ecoli,A21,93465/19/1,cpd00179:5:5,ecoli_ACS:r1;pf:r0,29-4-22
21,5_ecoli,A22,93465/19/1,cpd00179:5:5,ecoli_ACS:r0;pf:r0,29-4-22
22,r1_pf-1_pf-5_ecoli,A23,93465/19/1,cpd00136:1:1;cpd00179:5:5,ecoli_mRuby:r0;pf:r1,29-4-22
23,r1_ecoli_mRuby-r50_pf-1_pf-5_ecoli,A24,93465/19/1,cpd00136:1:1;cpd00179:5:5,ecoli_mRuby:r1;pf:r50,29-4-22
24,r1_ecoli_mRuby-r20_pf-1_pf-5_ecoli,A25,93465/19/1,cpd00136:1:1;cpd00179:5:5,ecoli_mRuby:r1;pf:r20,29-4-22
25,r1_ecoli_mRuby-r10_pf-1_pf-5_ecoli,A26,93465/19/1,cpd00136:1:1;cpd00179:5:5,ecoli_mRuby:r1;pf:r10,29-4-22
