short_codes,Time (s),values,experiment_IDs
Y18,3.152,12143.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,599.812,11903.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,1191.687,11867.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,1784.205,11733.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,2376.661,11740.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,2969.169,11744.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,3561.5,11719.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,4153.919,11662.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,4746.33,11508.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,5338.768,11646.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,5931.214,11857.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,6523.669,11531.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,7116.161,11595.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,7708.58,11799.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,8301.053,11835.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,8893.536,11661.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,9486.018,11933.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,10078.446,12068.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,10670.919,12111.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,11263.393,12108.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,11855.794,12243.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,12448.241,12264.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,13040.705,12247.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,13633.178,12429.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,14225.625,12367.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,14818.053,12421.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,15410.491,12746.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,16002.875,12613.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,16595.348,12803.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,17187.866,12811.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,17780.321,13136.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,18372.794,13407.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,18965.286,13398.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,19557.768,14299.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,20150.286,14418.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,20742.669,14359.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,21335.196,14993.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,21927.598,15395.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,22520.053,15888.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,23112.518,16412.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,23704.955,16585.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,24297.402,16990.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,24889.902,17477.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,25482.321,18035.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,26074.75,17968.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,26667.241,18402.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,27259.669,18389.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,27852.134,18820.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,28444.527,18987.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,29037.0,19764.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,29629.482,20327.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,30221.911,20387.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,30814.33,21317.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,31406.75,22188.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,31999.134,22641.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,32591.661,23217.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,33184.071,23946.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,33776.437,24961.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,34368.821,25469.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,34961.321,27135.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,35553.732,27439.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,36146.241,28625.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,36738.714,29430.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,37331.125,30369.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,37923.518,31479.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,38516.062,31862.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,39108.437,32938.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,39700.884,33643.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,40293.321,34291.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,40885.812,35657.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,41478.187,36051.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,42070.669,36511.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,42663.125,36666.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,43255.616,37071.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,43848.062,37536.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,44440.464,38304.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,45033.009,38105.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,45625.419,38780.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,46217.857,39108.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,46810.286,39383.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,47402.794,40188.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,47995.169,40358.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,48587.589,41075.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,49180.027,41623.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,49772.446,41639.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,50364.884,41271.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,50957.312,41715.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,51549.669,42914.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,52142.187,43823.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,52734.527,46031.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,53326.982,47105.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,53919.393,50019.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,54511.902,53095.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,55104.205,57360.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,55696.732,61314.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,56289.071,67635.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,56882.446,74169.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,57474.036,79210.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,58067.223,84494.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,58658.928,91239.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,59252.143,99998.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,59843.812,107405.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,60437.027,114643.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,61028.777,120669.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,61621.919,127554.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,62213.625,136267.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,62807.669,142092.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,63398.58,149223.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,63991.652,157084.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,64583.339,162609.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,65176.411,166784.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,65768.241,175214.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,66361.053,181474.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,66954.107,185930.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,67545.687,190279.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,68138.411,198859.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,68731.268,198962.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
