short_codes,trial_IDs,Time (s),OD:Raw_OD(590),pf:mNeonGreen,ecoli:mRuby
G10,r1_ecoli_mRuby-cpd00179:5,3.2263333333333333,0.0703956857323647,839.0,15993.0
G10,r1_ecoli_mRuby-cpd00179:5,599.36,0.0743089139461517,841.0,15315.0
G10,r1_ecoli_mRuby-cpd00179:5,1191.241,0.0712357982993126,843.0,15306.0
G10,r1_ecoli_mRuby-cpd00179:5,1783.7203333333334,0.0719341889023781,843.0,15464.0
G10,r1_ecoli_mRuby-cpd00179:5,2376.2056666666667,0.0733930617570877,890.0,15182.0
G10,r1_ecoli_mRuby-cpd00179:5,2968.7233333333334,0.0758328571915627,890.0,15142.0
G10,r1_ecoli_mRuby-cpd00179:5,3561.056666666667,0.0744351476430893,929.0,15003.0
G10,r1_ecoli_mRuby-cpd00179:5,4153.488333333334,0.079651241004467,943.0,15270.0
G10,r1_ecoli_mRuby-cpd00179:5,4745.895666666666,0.0820209309458733,982.0,15081.0
G10,r1_ecoli_mRuby-cpd00179:5,5338.333333333333,0.0811426818370819,1016.0,15213.0
G10,r1_ecoli_mRuby-cpd00179:5,5930.797666666666,0.0844246789813042,989.0,15152.0
G10,r1_ecoli_mRuby-cpd00179:5,6523.235333333333,0.0894112259149551,970.0,15249.0
G10,r1_ecoli_mRuby-cpd00179:5,7115.723333333332,0.0924750432372093,1072.0,14962.0
G10,r1_ecoli_mRuby-cpd00179:5,7708.169333333334,0.0931908532977104,1071.0,15150.0
G10,r1_ecoli_mRuby-cpd00179:5,8300.657666666666,0.0937079221010208,1097.0,15452.0
G10,r1_ecoli_mRuby-cpd00179:5,8893.151666666667,0.0993116840720177,1068.0,15491.0
G10,r1_ecoli_mRuby-cpd00179:5,9485.643,0.102548764646053,1206.0,15353.0
G10,r1_ecoli_mRuby-cpd00179:5,10078.086333333333,0.103345927596092,1177.0,15457.0
G10,r1_ecoli_mRuby-cpd00179:5,10670.559666666666,0.10638056397438,1288.0,15466.0
G10,r1_ecoli_mRuby-cpd00179:5,11263.027,0.109526166319847,1200.0,15616.0
G10,r1_ecoli_mRuby-cpd00179:5,11855.467333333334,0.111153404414654,1327.0,15489.0
G10,r1_ecoli_mRuby-cpd00179:5,12447.928666666667,0.114161987602711,1292.0,15640.0
G10,r1_ecoli_mRuby-cpd00179:5,13040.375,0.11556019037962,1390.0,15762.0
G10,r1_ecoli_mRuby-cpd00179:5,13632.869333333334,0.120737983286381,1426.0,15731.0
