rxn,ecoli_acetate,ecoli_malt,ecoli_stationary,pf_acetate,pf_4HB,pf_stationary
EX_cpd00001_e0,2.87102525,2.509823837,0,0,0,0
EX_cpd00007_e0,-2.853278238,-0.722473725,0,-0.37719945,-0.37719945,0
EX_cpd00009_e0,5.576459075,2.066505944,0,-1.377209,-1.377209,0
EX_cpd00011_e0,0.23030175,0.23030175,0,0,1.63E-11,0
EX_cpd00013_e0,-1.0799915,-1.0799915,0,-4.7515004,-4.7515004,0
EX_cpd00025_e0,0,0.375845672,0,0,0,0
EX_cpd00029_e0,-2.167421175,-3.84E-14,0,-7.5588129,0,0
EX_cpd00030_e0,-6.91E-05,-6.91E-05,0,0,0,0
EX_cpd00034_e0,-3.41E-05,-3.41E-05,0,0,0,0
EX_cpd00048_e0,-0.025182,-0.025182,0,-0.3233,-0.3233,0
EX_cpd00058_e0,-7.09E-05,0,0,0,0,0
EX_cpd00063_e0,-0.0005205,-0.0005205,0,0,0,0
EX_cpd00067_e0,-1.248581275,0.167077656,0,-12.3103133,-6.911161229,0
EX_cpd00082_e0,0,0,0,-7.45E-14,0,0
EX_cpd00099_e0,-0.0005205,-0.0005205,0,0,0,0
EX_cpd00100_e0,0,0,0,0,-3.84E-12,0
EX_cpd00106_e0,0,0,0,2.66E-13,0,0
EX_cpd00116_e0,2.00E-07,2.00E-07,0,0,0,0
EX_cpd00136_e0,0,0,0,0,-2.159660829,0
EX_cpd00149_e0,-2.50E-06,-2.50E-06,0,0,0,0
EX_cpd00179_e0,0,-0.361236862,0,0,0,0
EX_cpd00205_e0,-0.0195193,-0.0195193,0,0,0,0
EX_cpd00214_e0,0,0,0,9.22E-16,0,0
EX_cpd00244_e0,-3.23E-05,-3.23E-05,0,0,0,0
EX_cpd00254_e0,-0.0008675,-0.0008675,0,0,0,0
EX_cpd00418_e0,-0.0003252,-0.0003252,0,0,0,0
EX_cpd00532_e0,0,-0.751691344,0,0,0,0
EX_cpd00609_e0,0,0,0,-2.05E-13,-1.46E-13,0
EX_cpd00659_e0,0.0001626,0.0001626,0,0,0,0
EX_cpd01329_e0,-1.97E-15,0,0,0,0,0
EX_cpd03702_e0,0,-1.57E-17,0,0,0,0
EX_cpd04099_e0,-5.672919675,-2.162966544,0,0,0,0
EX_cpd10515_e0,-0.0016061,-0.0016061,0,0,0,0
EX_cpd11574_e0,-7.00E-07,-7.00E-07,0,0,0,0
EX_cpd30760_e0,0,-7.09E-05,0,0,0,0
EX_r1400_e0,0,0,0,-5.00E-05,-5.00E-05,0
EX_r293_e0,0,0,0,-5.00E-05,-5.00E-05,0
bio,0.1,0.1,0,0.1,0.1,0
