rxn,ecoli_Maltose,ecoli_Acetate,pf_Acetate,pf_4~Hydroxybenzoate
EX_cpd00001_e0,1.678363967926549,4.54436728264639,4.533296384304525,2.4494173644140402
EX_cpd00007_e0,-0.6452599184046126,-2.035609330508897,-2.0255205878727445,-5.333032000030307
EX_cpd00009_e0,-0.07625410303808919,-0.07625410303807714,-0.07625410303807768,-0.07625410303808296
EX_cpd00011_e0,0.16754747887135685,2.3881505672288768,2.377640900718643,5.685222466855254
EX_cpd00013_e0,-0.861166649630907,-0.8611666496308434,-0.8611666496308447,-0.8611666496308509
EX_cpd00029_e0,1.0816857751712463,-3.069851449203046,-3.0636144602420763,0.0
EX_cpd00030_e0,-0.00028061591595913103,-0.00028061591595913103,-0.000280615915959131,-0.000280615915959131
EX_cpd00034_e0,-0.00028061591595913103,-0.00028061591595913103,-0.00028061591595913103,-0.00028061591595913103
EX_cpd00047_e0,1.6606476604642653,0.0,0.0,0.0
EX_cpd00048_e0,-0.02263971880731459,-0.022639718807314697,-0.0226397188073148,-0.022639718807314645
EX_cpd00058_e0,-0.00028061591595913103,-0.00028061591595913103,-0.00028061591595913103,-0.00028061591595913103
EX_cpd00063_e0,-0.00028061591595913103,-0.00028061591595913103,-0.000280615915959131,-0.000280615915959131
EX_cpd00067_e0,3.395070869384063,-2.4173946313702,-2.41171887424169,-2.0434839371178732
EX_cpd00099_e0,-0.0002806159159591311,-0.0002806159159591311,-0.00028061591595913103,-0.00028061591595913103
EX_cpd00116_e0,0.00028061591595913114,0.00028061591595913114,0.0002806159159591311,0.0002806159159591311
EX_cpd00136_e0,0.0,0.0,0.0,-1.3478300695172534
EX_cpd00149_e0,-0.0002806159159591311,-0.0002806159159591311,-0.0002806159159591311,-0.0002806159159591311
EX_cpd00179_e0,-0.6452599184046127,0.0,0.0,0.0
EX_cpd00205_e0,-0.00028061591595913103,-0.00028061591595913103,-0.00028061591595913103,-0.00028061591595913103
EX_cpd00254_e0,-0.0002806159159591311,-0.0002806159159591311,-0.00028061591595913103,-0.00028061591595913103
EX_cpd00971_e0,0.0,0.0,1.7155804523031744e-16,0.0
EX_cpd10515_e0,-0.0008418477478773932,-0.0011224636635282833,-0.0011224636640899306,-0.0008418477478773931
EX_cpd10516_e0,-0.0002806159159591311,-3.082410978537979e-13,2.534064748388028e-13,-0.00028061591595913103
EX_cpd15378_e0,0.0002806159159591309,0.00028061591595913103,0.0,0.0
bio,0.10000000000000003,0.10000000000000003,0.1,0.1
