"","Time_Date","RelativeTime","Sample_Rep","Organism","Experiment","Org_Exp","Transfer","Exp_Description","OD","pH","DO_Percent","N2O_mM","NO3_mM","NO2_mM","NH4_mM","TON_mM","C2H3O2_mM"
"1",2020-11-02 07:49:00,0,"A1","SynCom","pH_Shift","SynCom_pH_Shift","Pre","Pre_SynCom_pH_7",0,NA,NA,NA,NA,NA,NA,NA,NA
"2",2020-11-02 07:49:00,0,"E2","SynCom","pH_Shift","SynCom_pH_Shift","Pre","Pre_SynCom_pH_7",0,NA,NA,NA,NA,NA,NA,NA,NA
"3",2020-11-02 07:49:00,0,"E3","SynCom","pH_Shift","SynCom_pH_Shift","Pre","Pre_SynCom_pH_7",0,NA,NA,NA,NA,NA,NA,NA,NA
"4",2020-11-02 07:49:00,0,"F1","SynCom","pH_Shift","SynCom_pH_Shift","Pre","Pre_SynCom_pH_7",0.02,7.19,NA,0,10.57,0.29,4.131314,9.932407,34.7831864
"5",2020-11-02 07:49:00,0,"F2","SynCom","pH_Shift","SynCom_pH_Shift","Pre","Pre_SynCom_pH_7",0,7.2,NA,0,10.42,0.28,4.117668,9.767829,35.5991624
"6",2020-11-02 07:49:00,0,"F3","SynCom","pH_Shift","SynCom_pH_Shift","Pre","Pre_SynCom_pH_7",0.02,7.2,NA,0,10.71,0.270419,4.251661,10.02499,36.0317592
"7",2020-11-02 07:49:00,0,"D1","SynCom","pH_Shift","SynCom_pH_Shift","Pre","Pre_SynCom_pH_7",0.03,NA,NA,NA,NA,NA,NA,NA,NA
"8",2020-11-02 07:49:00,0,"D2","SynCom","pH_Shift","SynCom_pH_Shift","Pre","Pre_SynCom_pH_7",0,NA,NA,NA,NA,NA,NA,NA,NA
"9",2020-11-02 07:49:00,0,"D3","SynCom","pH_Shift","SynCom_pH_Shift","Pre","Pre_SynCom_pH_7",0.01,NA,NA,NA,NA,NA,NA,NA,NA
"10",2020-11-02 07:49:00,0,"E1","SynCom","pH_Shift","SynCom_pH_Shift","Pre","Pre_SynCom_pH_7",0.02,NA,NA,NA,NA,NA,NA,NA,NA
"11",2020-11-02 07:49:00,0,"E2","SynCom","pH_Shift","SynCom_pH_Shift","Pre","Pre_SynCom_pH_7",0.01,NA,NA,NA,NA,NA,NA,NA,NA
"12",2020-11-02 07:49:00,0,"A2","SynCom","pH_Shift","SynCom_pH_Shift","Pre","Pre_SynCom_pH_7",0.01,NA,NA,NA,NA,NA,NA,NA,NA
"13",2020-11-02 07:49:00,0,"A3","SynCom","pH_Shift","SynCom_pH_Shift","Pre","Pre_SynCom_pH_7",0.01,NA,NA,NA,NA,NA,NA,NA,NA
"14",2020-11-02 07:49:00,0,"B1","SynCom","pH_Shift","SynCom_pH_Shift","Pre","Pre_SynCom_pH_7",0.01,NA,NA,NA,NA,NA,NA,NA,NA
"15",2020-11-02 07:49:00,0,"B2","SynCom","pH_Shift","SynCom_pH_Shift","Pre","Pre_SynCom_pH_7",0,NA,NA,NA,NA,NA,NA,NA,NA
"16",2020-11-02 07:49:00,0,"B3","SynCom","pH_Shift","SynCom_pH_Shift","Pre","Pre_SynCom_pH_7",0.02,NA,NA,NA,NA,NA,NA,NA,NA
"17",2020-11-02 07:49:00,0,"C1","SynCom","pH_Shift","SynCom_pH_Shift","Pre","Pre_SynCom_pH_7",0,NA,NA,NA,NA,NA,NA,NA,NA
"18",2020-11-02 07:49:00,0,"C2","SynCom","pH_Shift","SynCom_pH_Shift","Pre","Pre_SynCom_pH_7",0.02,NA,NA,NA,NA,NA,NA,NA,NA
"19",2020-11-02 07:49:00,0,"C3","SynCom","pH_Shift","SynCom_pH_Shift","Pre","Pre_SynCom_pH_7",0.01,NA,NA,NA,NA,NA,NA,NA,NA
"20",2020-11-02 07:49:00,0,"B2","SynCom","pH_Shift","SynCom_pH_Shift","Pre","Pre_SynCom_pH_7",0.02,NA,NA,NA,NA,NA,NA,NA,NA
"21",2020-11-02 07:49:00,0,"B3","SynCom","pH_Shift","SynCom_pH_Shift","Pre","Pre_SynCom_pH_7",0.02,NA,NA,NA,NA,NA,NA,NA,NA
"22",2020-11-02 07:49:00,0,"C1","SynCom","pH_Shift","SynCom_pH_Shift","Pre","Pre_SynCom_pH_7",0,NA,NA,NA,NA,NA,NA,NA,NA
"23",2020-11-02 07:49:00,0,"C2","SynCom","pH_Shift","SynCom_pH_Shift","Pre","Pre_SynCom_pH_7",-0.02,NA,NA,NA,NA,NA,NA,NA,NA
"24",2020-11-02 07:49:00,0,"C3","SynCom","pH_Shift","SynCom_pH_Shift","Pre","Pre_SynCom_pH_7",0.01,NA,NA,NA,NA,NA,NA,NA,NA
"25",2020-11-02 07:49:00,0,"E3","SynCom","pH_Shift","SynCom_pH_Shift","Pre","Pre_SynCom_pH_7",0.01,NA,NA,NA,NA,NA,NA,NA,NA
"26",2020-11-02 07:49:00,0,"F1","SynCom","pH_Shift","SynCom_pH_Shift","Pre","Pre_SynCom_pH_7",0.01,7.19,NA,0,11.06,0.06,4.043229,9.705918,37.319188
