short_codes,trial_IDs,Time (s),pf:Fluorescence,ecoli:Fluorescence_1,OD:Raw_OD(590)
B1,,33200.18353951024,94918.0,21667.0,0.24
B1,,33792.272625731006,98236.0,21453.0,0.24
B1,,34384.99975734649,98166.0,21972.0,0.24
B1,,34977.37028877924,97694.0,21392.0,0.239
B1,,35570.0976747076,99141.0,21293.0,0.237
B1,,36162.36495252193,100165.0,21708.0,0.237
B1,,36754.803826900585,100563.0,21606.0,0.238
B1,,37347.2698253655,98689.0,21147.0,0.24
B1,,37939.769586111106,99336.0,21413.0,0.238
B1,,38532.227598976606,102129.0,21983.0,0.239
B1,,39124.69970628655,104309.0,21833.0,0.242
B1,,39717.20306695907,101607.0,21933.0,0.244
B1,,40309.69415522661,100338.0,21623.0,0.245
B1,,40902.14685274123,102350.0,21797.0,0.249
B1,,41494.724779678356,101811.0,22241.0,0.25
B1,,42087.21628355263,102063.0,22433.0,0.248
B1,,42679.76975818714,102272.0,22573.0,0.251
B1,,43272.2891802266,104477.0,22544.0,0.257
B1,,43864.74336820175,103095.0,22668.0,0.256
B1,,44457.23272865498,104203.0,22763.0,0.263
B1,,45049.76675307018,104081.0,23264.0,0.268
B1,,45642.21698768275,104612.0,23603.0,0.271
B1,,46234.65241578947,115730.0,26594.0,0.286
B1,,46827.139121747074,106898.0,23741.0,0.286
B1,,47419.58095445906,125651.0,25482.0,0.325
B1,,48012.07614820907,126272.0,28771.0,0.296
B1,,48604.55811644736,137879.0,23736.0,0.314
B1,,49197.11923450292,119407.0,20726.0,0.261
B1,,49789.71486465644,139334.0,25987.0,0.319
B1,,50382.12904459064,123060.0,24974.0,0.342
B1,,50974.7038125731,120727.0,24860.0,0.342
B1,,51567.209188231,131441.0,29742.0,0.329
B1,,52159.76417905701,116997.0,22316.0,0.282
B1,,52752.226890716374,135630.0,28541.0,0.388
B1,,53344.666067690065,148590.0,25350.0,0.309
B1,,53937.12918592836,140953.0,22344.0,0.287
B1,,54529.56838256578,134828.0,27752.0,0.37
B1,,55122.06898084795,136804.0,28916.0,0.37
B1,,55714.59452309942,139011.0,29417.0,0.401
B1,,56307.11644188596,130087.0,27360.0,0.323
B1,,56899.62044565059,161694.0,25488.0,0.33
B1,,57492.156467068715,147305.0,29013.0,0.361
B1,,58084.65165741959,157219.0,24957.0,0.321
B1,,58677.20195891813,155339.0,31538.0,0.437
B1,,59269.74846151316,150685.0,29259.0,0.401
B1,,59862.32961564328,156430.0,31410.0,0.451
B1,,60454.796592141814,166746.0,26299.0,0.359
B1,,61047.31131348683,170619.0,29505.0,0.389
B1,,61639.842260087724,136030.0,27293.0,0.332
B1,,62232.3112368421,173750.0,28863.0,0.38
B1,,62824.87275442251,167876.0,27196.0,0.363
B1,,63417.35137222221,168364.0,32588.0,0.448
B1,,64009.93913819444,177463.0,33489.0,0.432
B1,,64602.41834926901,172417.0,34010.0,0.447
B1,,65194.92727006579,164879.0,31670.0,0.381
B1,,65787.48543472221,177910.0,31349.0,0.425
B1,,66379.97834685672,176981.0,34796.0,0.449
B1,,66972.55232258771,173994.0,33173.0,0.447
B1,,67565.03459740497,169965.0,27663.0,0.352
B1,,68157.54682320905,164372.0,25001.0,0.335
B1,,68750.01611140351,177944.0,34626.0,0.438
B1,,69342.49857638888,184208.0,30027.0,0.343
B1,,69934.96389334794,150388.0,24749.0,0.32
B1,,70527.48938223685,162912.0,30570.0,0.392
B1,,71119.94558771931,180728.0,27414.0,0.361
B1,,71712.42074345761,186613.0,26371.0,0.391
B1,,72304.92720105994,149289.0,28655.0,0.382
B1,,72897.48369608918,185270.0,28544.0,0.35
B1,,73490.03349678362,186789.0,31736.0,0.34
B1,,74082.5549429459,187026.0,37459.0,0.455
B1,,74675.04054163012,184470.0,26245.0,0.373
B1,,75267.62172386696,183149.0,24140.0,0.372
B1,,75860.15031352338,124480.0,23275.0,0.336
B1,,76452.67421206139,158837.0,36035.0,0.286
B1,,77045.18940456871,196621.0,36417.0,0.399
B1,,77637.70693274854,199101.0,40190.0,0.366
B1,,78230.20534239766,205418.0,40882.0,0.37
B1,,78822.70352668127,176903.0,38278.0,0.31
B1,,79415.22579071637,189923.0,38260.0,0.376
B1,,80007.78483768275,203630.0,38793.0,0.413
B1,,80600.32937255118,208519.0,40995.0,0.396
B1,,81192.8603069079,200008.0,39285.0,0.329
B1,,81785.41278311402,153993.0,36983.0,0.292
B1,,82378.01498333334,193088.0,38684.0,0.381
B1,,82970.4970736842,210174.0,40633.0,0.383
B1,,83563.00952397661,183547.0,38054.0,0.348
B1,,84155.58694203217,196707.0,37859.0,0.401
B1,,84748.09366524122,136218.0,33217.0,0.287
B1,,85340.68455683479,211727.0,40107.0,0.405
B1,,85933.19015288743,204748.0,38535.0,0.408
B1,,86525.72526571638,197690.0,37556.0,0.383
B1,,87118.29743479531,121491.0,25548.0,0.308
B1,,87710.8934945541,174237.0,40577.0,0.295
B1,,88303.43357448831,224925.0,39645.0,0.38
B1,,88895.99103355264,166260.0,33633.0,0.328
B1,,89488.57056312133,113549.0,21441.0,0.305
B1,,90081.15123461257,189497.0,41183.0,0.297
B1,,90673.69300782164,106958.0,29841.0,0.303
B1,,91266.24852909357,148149.0,35331.0,0.291
B1,,91858.84774097223,206943.0,37928.0,0.369
B1,,92451.36305288742,203659.0,40040.0,0.415
B1,,93043.92179846491,200334.0,37832.0,0.339
B1,,93636.40032390352,213681.0,39717.0,0.374
B1,,94228.98776779971,143519.0,36050.0,0.291
B1,,94821.50987280703,191721.0,42189.0,0.331
B1,,95414.02378742692,243303.0,42938.0,0.393
B1,,96006.56080076755,199684.0,40689.0,0.401
B1,,96599.13363413741,127002.0,35916.0,0.296
B1,,97191.73620968568,164616.0,39094.0,0.29
B1,,97784.3233634503,218385.0,44012.0,0.449
B1,,98376.93629802634,145572.0,36919.0,0.296
B1,,98969.48580383773,161196.0,38862.0,0.309
B1,,99562.07756118423,125798.0,34872.0,0.256
B1,,100154.58667843566,146842.0,36394.0,0.28
B1,,100747.10468548974,129909.0,33489.0,0.255
B1,,101339.59629232455,236003.0,37526.0,0.376
B1,,101932.0656324927,206237.0,33977.0,0.285
B1,,102524.57027898391,209945.0,31193.0,0.353
B1,,103117.08675807748,92386.0,18082.0,0.244
B1,,103709.5841123538,161105.0,24834.0,0.374
B1,,104302.12029649124,231500.0,31505.0,0.3
