,Measured,Mature_leaf,Error,,,,,
rxn01256_d0,0.000104569,0.001115268,9.665378295,,rxn01256_d0,9.665378295,chorismate biosynthesis,Does not  conform with phe and tyr numbers
rxn01575_d0,6.20E-05,-0.000475008,6.661423929,,rxn01575_d0,6.661423929,Isoleucine biosynthesis - just not consistent with biomass demand,
rxn08764_d0,6.70E-05,0.000475008,6.089675874,,rxn08764_d0,6.089675874,Isoleucine biosynthesis - just not consistent with biomass demand,
rxn00693_c0,2.96E-05,0.000167203,4.648752169,,rxn00693_c0,4.648752169,PDV is not consistent with Adomet biomass demand,
rxn00649_m0,1.47E-06,0,1,,rxn00649_m0,1,Need to add cysteine transporter to cytosol,
rxn19900_c0,2.96E-05,0,1,,rxn19900_c0,1,I think this may be the wrong reaction. What is this meant to capture?,
rxn00908_m0,0.0005,0.000102378,0.795243049,,rxn00908_m0,0.795243049,,
rxn00806_d0,9.17E-05,-0.000159292,0.737099873,,rxn00806_d0,0.737099873,,
rxn00903_d0,7.19E-05,-0.000119433,0.661101907,,rxn00903_d0,0.661101907,,
rxn00069_d0,0.001666667,0.000621349,0.627190428,,rxn00069_d0,0.627190428,,
rxn00902_d0,9.92E-05,-0.000159292,0.605766717,,rxn00902_d0,0.605766717,,
rxn03062_d0,9.92E-05,0.000159292,0.605766717,,rxn03062_d0,0.605766717,,
rxn19027_d0,0.000176963,-0.000278725,0.575048374,,rxn19027_d0,0.575048374,,
rxn15494_c0,0.002125,0.000957618,0.549356454,,rxn15494_c0,0.549356454,,
rxn15116_c0,0.002125,-0.000957711,0.549312372,,rxn15116_c0,0.549312372,,
rxn00747_c0,0.002125,0.001166183,0.451207819,,rxn00747_c0,0.451207819,,
rxn00161_d0,0.031916667,0.017978265,0.436712323,,rxn00161_d0,0.436712323,,
rxn11040_c0,5.42E-05,3.34E-05,0.383741149,,rxn11040_c0,0.383741149,,
rxn01115_c0,5.42E-05,3.34E-05,0.383071687,,rxn01115_c0,0.383071687,,
rxn01476_d0,0.0004875,0.000650118,0.333575926,,rxn01476_d0,0.333575926,,
rxn01115_d0,0.0004875,0.000325054,0.33322287,,rxn01115_d0,0.33322287,,
rxn11040_d0,0.0004875,0.000325064,0.333201205,,rxn11040_d0,0.333201205,,
rxn01476_c0,5.42E-05,6.68E-05,0.233187165,,rxn01476_c0,0.233187165,,
rxn00692_d0,0.000126019,-0.000101201,0.196942056,,rxn00692_d0,0.196942056,,
rxn00777_c0,5.42E-05,-6.24E-05,0.150584156,,rxn00777_c0,0.150584156,,
rxn01069_d0,0.00015015,0.000127906,0.14814502,,rxn01069_d0,0.14814502,,
rxn00980_d0,0.0005,0.0004267,0.146600829,,rxn00980_d0,0.146600829,,
rxn02251_d0,0.0005,0.0004267,0.146600829,,rxn02251_d0,0.146600829,,
rxn00333_x0,0.0005,0.000433415,0.133169579,,rxn00333_x0,0.133169579,,
rxn00789_d0,4.02E-05,-3.52E-05,0.124566381,,rxn00789_d0,0.124566381,,
rxn00863_d0,4.02E-05,3.52E-05,0.124566381,,rxn00863_d0,0.124566381,,
rxn02159_d0,4.02E-05,3.52E-05,0.124566381,,rxn02159_d0,0.124566381,,
rxn02320_d0,4.02E-05,-3.52E-05,0.124566381,,rxn02320_d0,0.124566381,,
rxn00337_d0,0.000249446,0.000263221,0.055222634,,rxn00337_d0,0.055222634,,
rxn01643_d0,0.000249446,-0.000263221,0.055222634,,rxn01643_d0,0.055222634,,
rxn19345_d0,2.95E-05,2.83E-05,0.040420969,,rxn19345_d0,0.040420969,,
rxn00423_d0,2.95E-05,2.83E-05,0.040350754,,rxn00423_d0,0.040350754,,
rxn00649_d0,2.95E-05,2.83E-05,0.040350754,,rxn00649_d0,0.040350754,,
rxn00791_d0,2.15E-05,-2.22E-05,0.036214398,,rxn00791_d0,0.036214398,,
rxn19345_c0,2.95E-05,2.85E-05,0.033918466,,rxn19345_c0,0.033918466,,
rxn00423_c0,2.95E-05,2.85E-05,0.033845509,,rxn00423_c0,0.033845509,,
rxn00649_c0,2.95E-05,2.85E-05,0.033845509,,rxn00649_c0,0.033845509,,
rxn01300_d0,0.000179733,0.000174314,0.030151003,,rxn01300_d0,0.030151003,,
rxn01019_d0,7.51E-05,7.40E-05,0.013925447,,rxn01019_d0,0.013925447,,
rxn00018_d0,0.031916667,0.031703074,0.006692213,,rxn00018_d0,0.006692213,,
rxn01111_d0,0.031916667,0.032129773,0.006676964,,rxn01111_d0,0.006676964,,
rxn00416_c0,3.75E-05,3.73E-05,0.006474655,,rxn00416_c0,0.006474655,,
rxn01917_d0,7.51E-05,7.50E-05,0.001589362,,rxn01917_d0,0.001589362,,
rxn04954_c0,2.96E-05,-2.96E-05,0.001226147,,rxn04954_c0,0.001226147,,
rxn00420_d0,0.000203775,0.000203986,0.001036919,,rxn00420_d0,0.001036919,,
rxn01101_d0,0.000203775,0.000203986,0.001036919,,rxn01101_d0,0.001036919,,
rxn02914_d0,0.000203775,-0.000203986,0.001036919,,rxn02914_d0,0.001036919,,
rxn00931_d0,5.90E-05,-5.91E-05,0.000975463,,rxn00931_d0,0.000975463,,
rxn00929_d0,5.90E-05,-5.90E-05,0.000803179,,rxn00929_d0,0.000803179,,
rxn02928_d0,6.97E-05,6.97E-05,0.000592168,,rxn02928_d0,0.000592168,,
rxn00424_x0,0.0005,-0.000500272,0.00054498,,rxn00424_x0,0.00054498,,
