,Measured,Mature_leaf,Error,,,,,
rxn01011_x0,0.0005,0.000500272,0.00054498,,rxn01011_x0,0.00054498,,
rxn00490_d0,5.90E-05,5.90E-05,0.000490988,,rxn00490_d0,0.000490988,,
rxn02929_d0,6.97E-05,6.97E-05,0.000444949,,rxn02929_d0,0.000444949,,
rxn05036_d0,0.000104569,-0.000104599,0.000282919,,rxn05036_d0,0.000282919,,
rxn01301_d0,0.000179733,0.000179774,0.000229021,,rxn01301_d0,0.000229021,,
rxn01302_d0,0.000179733,0.000179764,0.000171931,,rxn01302_d0,0.000171931,,
rxn20508_c0,0.00028,-0.000280042,0.000150867,,rxn20508_c0,0.000150867,,
rxn00799_m0,0.005333333,-0.005333936,0.00011297,,rxn00799_m0,0.00011297,,
rxn19701_d0,0.001541667,0.001541821,0.000100076,,rxn19701_d0,0.000100076,,
rxn00187_c0,0.0005,0.000499957,8.51609E-05,,rxn00187_c0,8.51609E-05,,
rxn00571_c0,0.001541667,-0.001541574,6.01752E-05,,rxn00571_c0,6.01752E-05,,
rxn01975_c0,5.42E-05,-5.42E-05,5.40767E-05,,rxn01975_c0,5.40767E-05,,
rxn00148_c0,0.002125,0.002124906,4.40815E-05,,rxn00148_c0,4.40815E-05,,
rxn15493_c0,0.002125,0.002124906,4.40815E-05,,rxn15493_c0,4.40815E-05,,
rxn00187_d0,0.001666667,0.001666623,2.62483E-05,,rxn00187_d0,2.62483E-05,,
rxn00692_m0,0.0005,-0.000500013,2.57084E-05,,rxn00692_m0,2.57084E-05,,
rxn19828_d0,0.001666667,-0.001666707,2.38718E-05,,rxn19828_d0,2.38718E-05,,
rxn00248_m0,0.005333333,0.005333379,8.5331E-06,,rxn00248_m0,8.5331E-06,,
rxn00781_c0,0.002125,-0.002125014,6.5244E-06,,rxn00781_c0,6.5244E-06,,
rxn01100_c0,0.002125,0.002125014,6.5244E-06,,rxn01100_c0,6.5244E-06,,
rxn00285_m0,0.005333333,-0.005333364,5.87169E-06,,rxn00285_m0,5.87169E-06,,
rxn08094_m0,0.005333333,0.005333364,5.87169E-06,,rxn08094_m0,5.87169E-06,,
rxn01345_d0,0.031916667,0.031916612,1.71192E-06,,rxn01345_d0,1.71192E-06,,
rxn15364_c0,0.002125,-0.002125003,1.33192E-06,,rxn15364_c0,1.33192E-06,,
rxn00474_d0,2.15E-05,2.14E-05,9.82784E-07,,rxn00474_d0,9.82784E-07,,
rxn01682_d0,2.15E-05,2.14E-05,9.82784E-07,,rxn01682_d0,9.82784E-07,,
rxn00154_m0,0.005333333,0.005333338,9.28765E-07,,rxn00154_m0,9.28765E-07,,
rxn00692_c0,0.000126019,0.000126019,8.975E-07,,rxn00692_c0,8.975E-07,,
rxn00782_d0,0.031916667,-0.031916643,7.38198E-07,,rxn00782_d0,7.38198E-07,,
rxn15364_d0,0.002125,0.002125001,6.63775E-07,,rxn15364_d0,6.63775E-07,,
rxn00275_x0,0.0005,-0.0005,6.5711E-07,,rxn00275_x0,6.5711E-07,,
rxn01975_d0,0.0004875,0.0004875,4.34302E-07,,rxn01975_d0,4.34302E-07,,
rxn00974_m0,0.005333333,0.005333332,2.79356E-07,,rxn00974_m0,2.79356E-07,,
rxn15056_m0,0.005333333,0.005333332,2.79356E-07,,rxn15056_m0,2.79356E-07,,
rxn15280_m0,0.005333333,-0.005333332,2.79356E-07,,rxn15280_m0,2.79356E-07,,
rxn00102_d1,0.031916667,-0.031916663,1.37567E-07,,rxn00102_d1,1.37567E-07,,
rxn00151_d1,0.031916667,0.031916663,1.37567E-07,,rxn00151_d1,1.37567E-07,,
rxn00249_d1,0.031916667,-0.031916663,1.37567E-07,,rxn00249_d1,1.37567E-07,,
rxn20508_d1,0.031916667,-0.031916663,1.37567E-07,,rxn20508_d1,1.37567E-07,,
rxn00179_c0,5.90E-05,5.90E-05,0,,rxn00179_c0,0,,
rxn00459_c0,0.002125,-0.002125,0,,rxn00459_c0,0,,
rxn01106_c0,0.002125,0.002125,0,,rxn01106_c0,0,,
rxn02373_c0,5.90E-05,-5.90E-05,0,,rxn02373_c0,0,,
rxn15298_c0,0.002125,-0.002125,0,,rxn15298_c0,0,,
rxn29919_d0,0.0004875,0.0004875,0,,rxn29919_d0,0,,
