,Mature_leaf
rxn00001_c0,0.0
rxn00001_d0,0.0
rxn00001_g0,0.0
rxn00001_v0,0.0
rxn00001_w0,0.0
rxn00006_c0,0.0
rxn00006_x0,0.00025
rxn00018_d0,0.031716667000000004
rxn00029_c0,0.0
rxn00029_d0,0.0
rxn00046_c0,0.0
rxn00048_c0,2.23854155e-06
rxn00048_d0,0.0
rxn00055_c0,0.0
rxn00060_c0,0.0
rxn00060_d0,0.0
rxn00062_c0,0.0
rxn00062_w0,0.0
rxn00062_x0,0.0
rxn00068_c0,0.0
rxn00068_d0,0.0
rxn00069_d0,0.00029744241322334007
rxn00071_c0,0.0
rxn00071_x0,0.0
rxn00076_c0,0.006293198565186807
rxn00076_d0,0.0
rxn00077_c0,0.0
rxn00077_d0,0.021517431003688837
rxn00078_c0,0.0
rxn00078_x0,0.0
rxn00083_c0,0.0
rxn00086_c0,0.0
rxn00086_d0,0.0
rxn00086_m0,0.0
rxn00088_c0,0.0
rxn00092_c0,0.0
rxn00092_g0,0.0
rxn00097_c0,0.010661078599685476
rxn00097_d0,0.0
rxn00097_m0,0.009392862071388047
rxn00097_n0,0.0
rxn00100_c0,2.1745832200000957e-07
rxn00100_x0,0.0
rxn00101_c0,0.010081337631973934
rxn00102_c0,0.0
rxn00102_d0,-0.016813195825923676
rxn00105_c0,0.0
rxn00113_c0,0.0
rxn00114_d0,0.0
rxn00116_c0,0.0
rxn00116_g0,0.0
rxn00117_c0,0.0005833540215980798
rxn00117_d0,0.0
rxn00117_m0,0.0
rxn00117_n0,0.0
rxn00117_x0,0.0
rxn00119_c0,6.981262334730415e-07
rxn00120_c0,0.0
rxn00120_g0,0.0
rxn00121_c0,0.0
rxn00121_d0,0.0
rxn00122_c0,1.119270775e-06
rxn00122_d0,0.0
rxn00123_c0,0.0
rxn00124_c0,0.0
rxn00124_d0,0.0
rxn00126_c0,0.00012531515492724999
rxn00126_n0,0.0
rxn00127_c0,0.0
rxn00128_c0,0.0
rxn00130_c0,0.00014288647838547042
rxn00134_c0,0.00012428702477250002
rxn00137_c0,0.0
rxn00137_d0,0.0
rxn00137_m0,0.0
rxn00138_c0,0.006294445752621807
rxn00139_c0,0.0
rxn00141_c0,0.00012380733729750002
rxn00146_m0,0.026907020827102186
rxn00147_c0,0.0
rxn00148_c0,0.002125
rxn00148_d0,0.0
rxn00149_c0,-0.02622731600146829
rxn00151_d0,0.0
rxn00153_c0,0.028751018159855694
rxn00154_d0,0.01976528137986559
rxn00154_m0,0.005333333
rxn00159_m0,-0.021662754918293586
rxn00161_c0,0.0
rxn00161_d0,0.020817849074195163
rxn00166_c0,0.0
rxn00168_c0,0.0
rxn00175_d0,5.900000000000001e-05
rxn00178_c0,7.3910035532769515e-06
rxn00178_x0,0.0
rxn00179_c0,5.9e-05
rxn00179_d0,0.0
rxn00182_c0,-0.003075310472486549
rxn00182_m0,0.0003888244339021905
rxn00183_m0,-2.679782802399996e-05
rxn00184_c0,0.0
rxn00186_c0,0.0
rxn00187_c0,0.0005
rxn00187_d0,0.001666667
rxn00187_m0,0.0
rxn00189_c0,0.0
rxn00190_c0,0.0
rxn00191_c0,-5.006415051240004e-05
rxn00191_d0,0.0
rxn00191_m0,0.0
rxn00191_x0,-0.0013430904918587294
rxn00192_d0,0.0
rxn00194_c0,0.0
rxn00205_c0,0.0
rxn00206_c0,0.0
