ReactionID	Dataset	Flux
rxn15116_d0	Mature_leaf	50
rxn00782_d0	Mature_leaf	106
rxn01111_d0	Mature_leaf	50
rxn00018_d0	Mature_leaf	50
rxn01116_d0	Mature_leaf	50
rxn01345_d0	Mature_leaf	50
rxn01200_d0	Mature_leaf	50
rxn15271_d0	Mature_leaf	50
rxn00747_d0	Mature_leaf	50
rxn01100_d0	Mature_leaf	50
rxn00777_d0	Mature_leaf	50
rxn01334_d0	Mature_leaf	50
rxn15494_d0	Mature_leaf	50
rxn00781_d0	Mature_leaf	106
rxn02251_d0	Mature_leaf	12.5
rxn00908_m0	Mature_leaf	12.5
rxn00187_d0	Mature_leaf	12.5
rxn01011_c0	Mature_leaf	1.4
rxn01011_x0	Mature_leaf	11
rxn00980_d0	Mature_leaf	25
rxn00692_m0	Mature_leaf	12.5
rxn00275_x0	Mature_leaf	25
rxn19828_d0	Mature_leaf	12.5
rxn00213_c0	Mature_leaf	4.2
rxn00553_c0	Mature_leaf	4.2
rxn01007_c0	Mature_leaf	2.8
rxn00695_d0	Mature_leaf	4.2
rxn15364_c0	Mature_leaf	4.4
rxn01106_c0	Mature_leaf	4.4
rxn00704_c0	Mature_leaf	4.4
rxn20583_c0	Mature_leaf	4.4
rxn00148_c0	Mature_leaf	4.4
rxn00459_c0	Mature_leaf	4.4
rxn00747_c0	Mature_leaf	4.4
rxn00781_c0	Mature_leaf	4.4
rxn01100_c0	Mature_leaf	4.4
rxn15116_c0	Mature_leaf	4.4
rxn15494_c0	Mature_leaf	4.4
rxn15364_d0	Mature_leaf	3.3
rxn02380_d0	Mature_leaf	3.3
rxn00459_d0	Mature_leaf	3.3
rxn20583_d0	Mature_leaf	3.3
rxn29919_d0	Mature_leaf	0.8
rxn01834_c0	Mature_leaf	0.017
rxn00159_m0	Mature_leaf	0.05
rxn00256_m0	Mature_leaf	4.16
rxn00974_m0	Mature_leaf	4.16
rxn00154_m0	Mature_leaf	4.16
rxn08094_m0	Mature_leaf	4.16
rxn15056_m0	Mature_leaf	4.16
rxn00248_m0	Mature_leaf	4.166666667
rxn00285_m0	Mature_leaf	4.166666667
rxn00069_d0	Mature_leaf	1.416666667
rxn19701_d0	Mature_leaf	1.416666667
rxn00414_d0	Mature_leaf	0.043333333
rxn01917_d0	Mature_leaf	0.043333333
rxn01019_d0	Mature_leaf	0.043333333
rxn00416_c0	Mature_leaf	0.048333333
rxn20508_c0	Mature_leaf	0.30375
rxn01643_d0	Mature_leaf	0.30375
rxn01974_d0	Mature_leaf	0.063333333
rxn07441_d0	Mature_leaf	0.063333333
rxn00693_c0	Mature_leaf	0.11875
rxn04954_c0	Mature_leaf	0.11875
rxn01300_d0	Mature_leaf	0.240416667
rxn00337_d0	Mature_leaf	0.240416667
rxn01301_d0	Mature_leaf	0.240416667
rxn01302_d0	Mature_leaf	0.240416667
rxn19027_d0	Mature_leaf	0.143333333
rxn03062_d0	Mature_leaf	0.105
rxn01332_d0	Mature_leaf	0.2875
rxn00474_d0	Mature_leaf	0.007916667
rxn01682_d0	Mature_leaf	0.007916667
rxn00526_d0	Mature_leaf	0.021666667
rxn02159_d0	Mature_leaf	0.01625
rxn00863_d0	Mature_leaf	0.01625
rxn02320_d0	Mature_leaf	0.01625
rxn00789_d0	Mature_leaf	0.02
rxn01101_d0	Mature_leaf	0.130416667
rxn00379_d0	Mature_leaf	0.0625
rxn00649_c0	Mature_leaf	0.02
rxn00649_d0	Mature_leaf	0.014
rxn27266_d0	Mature_leaf	0.0625
rxn01478_c0	Mature_leaf	0.047916667
rxn00154_d0	Mature_leaf	0.708333333
rxn00148_d0	Mature_leaf	0.708333333
rxn04027_d0	Mature_leaf	0.001833333
rxn22652_d0	Mature_leaf	0.000958333
rxn26498_d0	Mature_leaf	0.00325
rxn02733_d0	Mature_leaf	0.00325
rxn01629_d0	Mature_leaf	0.013333333
rxn00060_d0	Mature_leaf	0.013333333
rxn02303_d0	Mature_leaf	0.003333333
rxn02288_d0	Mature_leaf	0.003333333
rxn16111_d0	Mature_leaf	0.000025
rxn00830_c0	Mature_leaf	0.02
rxn00830_d0	Mature_leaf	0.02
rxn03958_d0	Mature_leaf	0.02
rxn20643_d0	Mature_leaf	4.33333E-05
rxn27029_d0	Mature_leaf	4.33333E-05
rxn27030_d0	Mature_leaf	4.33333E-05
rxn00838_d0	Mature_leaf	0.002916667
rxn00834_c0	Mature_leaf	0.002416667
rxn00832_d0	Mature_leaf	0.005833333
rxn03137_d0	Mature_leaf	0.005833333
rxn03084_d0	Mature_leaf	0.005833333
rxn02937_d0	Mature_leaf	0.005833333
rxn21635_c0	Mature_leaf	1.41667E-05
rxn03080_c0	Mature_leaf	7.08333E-06
rxn03080_d0	Mature_leaf	7.08333E-06
rxn00048_d0	Mature_leaf	7.08333E-06
rxn02504_c0	Mature_leaf	0.009166667
