ReactionID	Dataset	Flux
rxn00018_d	Mature_leaf	0.031916667
rxn00069_d	Mature_leaf	0.001666667
rxn00102_z	Mature_leaf	0.031916667
rxn00148_c	Mature_leaf	0.002125
rxn00151_z	Mature_leaf	0.031916667
rxn00154_m	Mature_leaf	0.005333333
rxn00161_d	Mature_leaf	0.031916667
rxn00179_c	Mature_leaf	5.90E-05
rxn00187_c	Mature_leaf	0.0005
rxn00187_d	Mature_leaf	0.001666667
rxn00248_m	Mature_leaf	0.005333333
rxn00249_z	Mature_leaf	0.031916667
rxn00260_d	Mature_leaf	0.000304367
rxn00275_x	Mature_leaf	0.0005
rxn00285_m	Mature_leaf	0.005333333
rxn00333_x	Mature_leaf	0.0005
rxn00337_d	Mature_leaf	0.000249446
rxn00416_c	Mature_leaf	3.75E-05
rxn00420_d	Mature_leaf	0.000203775
rxn00423_c	Mature_leaf	2.95E-05
rxn00423_d	Mature_leaf	2.95E-05
rxn00423_m	Mature_leaf	2.95E-05
rxn00424_x	Mature_leaf	0.0005
rxn00459_c	Mature_leaf	0.002125
rxn00474_d	Mature_leaf	0.00002145
rxn00490_d	Mature_leaf	5.90E-05
rxn00571_c	Mature_leaf	0.001541667
rxn00649_c	Mature_leaf	2.95E-05
rxn00649_d	Mature_leaf	2.95E-05
rxn00649_m	Mature_leaf	2.95E-05
rxn00692_c	Mature_leaf	0.000126019
rxn00692_d	Mature_leaf	0.000126019
rxn00692_m	Mature_leaf	0.0005
rxn00693_c	Mature_leaf	2.96E-05
rxn00747_c	Mature_leaf	0.002125
rxn00777_c	Mature_leaf	5.42E-05
rxn00781_c	Mature_leaf	0.002125
rxn00781_d	Mature_leaf	0.017020834
rxn00782_d	Mature_leaf	0.031916667
rxn00789_d	Mature_leaf	4.02E-05
rxn00791_d	Mature_leaf	0.00002145
rxn00799_m	Mature_leaf	0.005333333
rxn00806_c	Mature_leaf	9.92E-05
rxn00806_d	Mature_leaf	9.92E-05
rxn00806_m	Mature_leaf	9.92E-05
rxn00863_d	Mature_leaf	4.02E-05
rxn00902_d	Mature_leaf	9.92E-05
rxn00903_c	Mature_leaf	7.78E-05
rxn00903_d	Mature_leaf	7.78E-05
rxn00903_m	Mature_leaf	7.78E-05
rxn00908_m	Mature_leaf	0.0005
rxn00929_d	Mature_leaf	5.90E-05
rxn00931_d	Mature_leaf	5.90E-05
rxn00974_m	Mature_leaf	0.005333333
rxn00980_d	Mature_leaf	0.0005
rxn01011_x	Mature_leaf	0.0005
rxn01019_d	Mature_leaf	0.000075075
rxn01069_d	Mature_leaf	0.00015015
rxn01100_c	Mature_leaf	0.002125
rxn01100_d	Mature_leaf	0.031916667
rxn01101_d	Mature_leaf	0.000203775
rxn01106_c	Mature_leaf	0.002125
rxn01111_d	Mature_leaf	0.031916667
rxn01115_c	Mature_leaf	5.42E-05
rxn01115_d	Mature_leaf	0.0004875
rxn01116_c	Mature_leaf	5.42E-05
rxn01200_c	Mature_leaf	5.42E-05
rxn01200_d	Mature_leaf	0.031916667
rxn01256_d	Mature_leaf	0.000104569
rxn01300_d	Mature_leaf	0.000179733
rxn01301_d	Mature_leaf	0.000179733
rxn01302_d	Mature_leaf	0.000179733
rxn01334_c	Mature_leaf	0.002125
rxn01345_d	Mature_leaf	0.031916667
rxn01476_c	Mature_leaf	5.42E-05
rxn01476_d	Mature_leaf	0.0004875
rxn01575_c	Mature_leaf	6.70E-05
rxn01575_d	Mature_leaf	6.70E-05
rxn01575_m	Mature_leaf	6.70E-05
rxn01643_d	Mature_leaf	0.000249446
rxn01682_d	Mature_leaf	0.00002145
rxn01917_d	Mature_leaf	0.000075075
rxn01975_c	Mature_leaf	5.42E-05
rxn01975_d	Mature_leaf	0.0004875
rxn02159_d	Mature_leaf	4.02E-05
rxn02251_d	Mature_leaf	0.0005
rxn02320_d	Mature_leaf	4.02E-05
rxn02373_c	Mature_leaf	5.90E-05
rxn02914_d	Mature_leaf	0.000203775
rxn02928_d	Mature_leaf	6.97E-05
rxn02929_d	Mature_leaf	6.97E-05
rxn03062_d	Mature_leaf	9.92E-05
rxn04954_c	Mature_leaf	2.96E-05
rxn05036_d	Mature_leaf	0.000104569
rxn08094_m	Mature_leaf	0.005333333
rxn08764_d	Mature_leaf	6.70E-05
rxn11040_c	Mature_leaf	5.42E-05
rxn11040_d	Mature_leaf	0.0004875
rxn15056_m	Mature_leaf	0.005333333
rxn15271_c	Mature_leaf	5.42E-05
rxn15280_m	Mature_leaf	0.005333333
rxn15298_c	Mature_leaf	0.002125
rxn15364_c	Mature_leaf	0.002125
rxn15364_d	Mature_leaf	0.002125
rxn15493_c	Mature_leaf	0.002125
rxn15494_c	Mature_leaf	0.002125
rxn19027_d	Mature_leaf	0.000176963
rxn19345_c	Mature_leaf	2.95E-05
rxn19345_d	Mature_leaf	2.95E-05
rxn19701_d	Mature_leaf	0.001541667
rxn19828_d	Mature_leaf	0.001666667
rxn19900_c	Mature_leaf	2.96E-05
rxn20508_c	Mature_leaf	0.00028
rxn20508_z	Mature_leaf	0.031916667
rxn20583_d	Mature_leaf	0.002125
rxn29919_d	Mature_leaf	0.0004875
