ReactionID	Dataset	Flux
rxn00102_d1	Mature_leaf	63.8
rxn20508_d1	Mature_leaf	63.8
rxn00249_d1	Mature_leaf	63.8
rxn00161_d0	Mature_leaf	63.8
rxn00151_d1	Mature_leaf	63.8
rxn00018_d0	Mature_leaf	63.8
rxn01100_d0	Mature_leaf	63.8
rxn00782_d0	Mature_leaf	63.8
rxn00781_d0	Mature_leaf	63.8
rxn15116_d0	Mature_leaf	63.8
rxn01334_d0	Mature_leaf	63.8
rxn01345_d0	Mature_leaf	63.8
rxn15116_d0	Mature_leaf	63.8
rxn01200_d0	Mature_leaf	63.8
rxn15271_d0	Mature_leaf	63.8
rxn00777_d0	Mature_leaf	63.8
rxn01111_d0	Mature_leaf	63.8
rxn01116_d0	Mature_leaf	63.8
rxn15494_d0	Mature_leaf	63.8
rxn00747_d0	Mature_leaf	63.8
rxn02251_d0	Mature_leaf	1
rxn00980_d0	Mature_leaf	1
rxn00333_x0	Mature_leaf	1
rxn00275_x0	Mature_leaf	1
rxn00692_m0	Mature_leaf	1
rxn00424_x0	Mature_leaf	1
rxn01011_x0	Mature_leaf	1
rxn00908_m0	Mature_leaf	1
rxn00571_c0	Mature_leaf	1.54
rxn19701_d0	Mature_leaf	1.54
rxn00187_d0	Mature_leaf	1.66
rxn19828_d0	Mature_leaf	1.66
rxn00069_d0	Mature_leaf	1.66
rxn20583_c0	Mature_leaf	3.19
rxn15364_c0	Mature_leaf	3.19
rxn15493_c0	Mature_leaf	3.19
rxn15116_c0	Mature_leaf	3.19
rxn01334_c0	Mature_leaf	3.19
rxn00747_c0	Mature_leaf	3.19
rxn00781_c0	Mature_leaf	3.19
rxn01100_c0	Mature_leaf	3.19
rxn01106_c0	Mature_leaf	3.19
rxn00459_c0	Mature_leaf	3.19
rxn00148_c0	Mature_leaf	3.19
rxn15298_c0	Mature_leaf	3.19
rxn20583_d0	Mature_leaf	2.13
rxn15364_d0	Mature_leaf	2.13
rxn15493_d0	Mature_leaf	2.13
rxn01975_d0	Mature_leaf	1.08
rxn01476_d0	Mature_leaf	1.08
rxn01115_d0	Mature_leaf	1.08
rxn11040_d0	Mature_leaf	1.08
rxn29919_d0	Mature_leaf	1.08
rxn00154_m0	Mature_leaf	5.333333333
rxn00974_m0	Mature_leaf	5.333333333
rxn15280_m0	Mature_leaf	5.333333333
rxn15056_m0	Mature_leaf	5.333333333
rxn00285_m0	Mature_leaf	5.333333333
rxn00799_m0	Mature_leaf	5.333333333
rxn00248_m0	Mature_leaf	5.333333333
rxn08094_m0	Mature_leaf	5.333333333
rxn00048_d0	Mature_leaf	9.58333E-06
rxn03080_d0	Mature_leaf	9.58333E-06
rxn20643_d0	Mature_leaf	3.79167E-06
rxn27029_d0	Mature_leaf	3.79167E-06
rxn21635_c0	Mature_leaf	5.08333E-05
rxn02503_m0	Mature_leaf	0.00000595
rxn02201_m0	Mature_leaf	0.00000595
rxn02312_m0	Mature_leaf	2.00958E-07
rxn02277_m0	Mature_leaf	2.00958E-07
rxn01791_c0	Mature_leaf	8.18333E-05
rxn02175_c0	Mature_leaf	8.18333E-05
rxn02402_d0	Mature_leaf	0.000266167
rxn00138_c0	Mature_leaf	0.000266167
rxn20508_c0	Mature_leaf	0.480416667
rxn00337_d0	Mature_leaf	0.367916667
rxn01643_d0	Mature_leaf	0.367916667
rxn01302_d0	Mature_leaf	0.367916667
rxn01301_d0	Mature_leaf	0.367916667
rxn01300_d0	Mature_leaf	0.298066667
rxn01069_d0	Mature_leaf	0.15015
rxn00693_c0	Mature_leaf	0.147916667
rxn04954_c0	Mature_leaf	0.147916667
rxn02928_d0	Mature_leaf	0.0697125
rxn02929_d0	Mature_leaf	0.0697125
rxn01069_d0	Mature_leaf	0.15015
rxn00789_d0	Mature_leaf	0.04021875
rxn02320_d0	Mature_leaf	0.04021875
rxn00863_d0	Mature_leaf	0.04021875
rxn02159_d0	Mature_leaf	0.04021875
rxn00929_d0	Mature_leaf	0.0589875
rxn00931_d0	Mature_leaf	0.0589875
rxn01019_d0	Mature_leaf	0.075075
rxn01917_d0	Mature_leaf	0.075075
rxn02914_d0	Mature_leaf	0.203775
rxn00420_d0	Mature_leaf	0.203775
rxn01101_d0	Mature_leaf	0.0775
rxn00692_d0	Mature_leaf	0.12601875
rxn19345_c0	Mature_leaf	0.02949375
rxn19345_d0	Mature_leaf	0.02949375
rxn00902_d0	Mature_leaf	0.09920625
rxn03062_d0	Mature_leaf	0.09920625
rxn19027_d0	Mature_leaf	0.1769625
rxn00903_d0	Mature_leaf	0.07775625
rxn00806_d0	Mature_leaf	0.09920625
rxn08764_d0	Mature_leaf	0.06703125
rxn01575_d0	Mature_leaf	0.06703125
rxn01682_d0	Mature_leaf	0.02145
rxn00474_d0	Mature_leaf	0.02145
rxn00791_d0	Mature_leaf	0.02145
rxn01256_d0	Mature_leaf	0.10456875
rxn00490_d0	Mature_leaf	0.0589875
rxn05036_d0	Mature_leaf	0.10456875
