,SampleName,12_Ketolithocholic acid,2_deoxy_Ribose,5_Oxoproline,Alanine,Allose,Arabinose,Asparagine,Aspartic acid,cellb,Cholic/Allocholic acid,cit,Cysteine,dca,Deoxycholic acid,ddca,galt,Fructose,Fucose,fum,Galactose,glc__D,Glutamic acid,gly,hxa,Histidine,indole,Isoleucine,Leucine,Linoleic acid,Lithocholic/Allolithocholic/Isolithocholic acid,Lysine,mal__L,melib,met__L,ttdca,N_Acetyl_Glucosamine,nac,octa,orn__L,hdca,Phenylalanine,Picolinic acid,Proline,pyr,raffin,Rhamnose,Ribose,Serine,succ,sucr,Threonine,tyr__L,Ursodeoxycholic acid,pta,Valine,alpha_Ketoglutaric acid ,cis_Oleic acid,meso_Erythritol,myo_Inositol,trans_4_Hydroxyproline
10,HF1158,,0.035,0.847,1.438,0.165,3.48,0.271,1.236,,0.112,0.113,4.051,0.053,0.089,,,2.143,0.154,0.447,0.259,9.878,0.361,0.245,0.091,,,2.97,5.165,1.777,,0.209,0.017,4.644,0.374,0.316,0.305,0.069,0.234,0.09,0.564,0.732,0.175,1.341,0.093,176.521,0.348,1.231,1.958,0.027,0.878,2.229,1.513,,0.05,0.968,,1.364,0.146,2.41,0.096
11,HF1227,0.003,0.041,0.77,0.313,0.173,1.543,0.195,0.832,,0.055,0.104,3.382,0.034,0.082,,,3.941,0.07,0.322,12.235,6.906,0.372,0.109,0.058,,,1.12,2.505,1.249,,0.107,0.015,3.473,0.233,0.23,0.041,0.113,0.147,0.046,0.501,0.399,0.118,0.523,0.118,119.953,0.216,1.61,1.47,0.051,7.511,2.032,1.092,,0.037,0.482,,1.043,0.087,2.927,0.067
12,HF1228,,0.321,1.065,2.277,0.277,0.563,0.209,3.221,0.29,0.057,0.1,3.707,0.042,0.058,,,4.82,0.092,0.42,4.902,3.325,0.679,0.25,0.074,,,2.456,5.243,1.559,,0.165,0.014,,0.36,0.302,,0.318,0.188,0.062,0.555,0.591,0.141,7.089,0.491,,0.273,0.597,1.934,0.03,1.134,2.044,1.325,,0.048,0.85,0.005,1.188,0.268,9.995,0.471
13,HF1233,,0.032,0.831,0.47,0.135,2.755,0.278,1.2,,0.074,0.156,3.905,0.041,0.053,0.024,,1.672,0.123,0.356,0.378,12.076,0.351,0.122,0.07,,,2.634,4.698,1.668,,0.327,0.022,5.42,0.365,0.297,0.191,0.083,0.187,0.121,0.58,0.741,0.145,0.435,0.064,160.725,0.254,0.982,1.609,0.024,0.81,2.151,1.267,,0.043,0.841,,1.332,0.088,3.893,0.045
14,HF1274A,,0.111,1.611,2.333,0.14,0.781,0.663,3.906,0.167,0.053,0.14,3.975,0.043,0.039,,0.478,2.258,0.117,0.426,1.36,0.543,0.785,0.307,0.095,,,5.216,9.886,1.838,,0.711,0.018,,0.627,0.321,,0.308,0.195,0.344,0.595,1.37,0.161,2.87,0.55,,0.224,0.636,0.169,0.036,0.831,3.698,0.182,,0.049,2.229,0.013,1.321,0.312,0.161,0.375
15,HF1275,,0.113,1.686,2.471,0.18,1.136,0.499,4.555,0.196,0.069,0.239,4.249,0.059,,,0.518,2.039,0.178,0.59,0.653,0.655,0.744,0.294,0.137,,,4.782,9.214,1.912,,0.495,0.017,,0.72,0.366,,0.327,0.233,0.286,0.695,1.388,0.208,2.924,1.082,,0.224,0.482,0.152,0.05,0.817,4.001,0.531,,0.064,1.93,0.02,1.426,0.388,0.34,0.238
16,HF1280,,0.116,1.356,3.707,0.248,2.043,0.661,3.468,0.15,0.065,0.083,4.85,0.05,,,,3.232,0.185,0.682,0.973,1.122,0.773,0.506,0.093,,,4.616,9.144,1.724,,0.693,0.016,,0.559,0.351,,0.377,0.227,0.176,0.633,1.02,0.188,6.357,0.384,,0.332,0.673,4.148,0.036,1.135,3.853,2.827,,0.057,1.888,0.018,1.247,0.255,9.529,0.769
17,HF1298,,0.104,1.299,2.476,0.128,2.057,0.199,2.983,0.137,0.131,0.015,3.851,0.065,,,0.706,0.271,0.102,0.646,0.758,0.99,0.631,0.318,0.097,,,3.716,7.041,2.08,,0.219,0.031,,0.47,0.318,,0.427,0.257,0.135,0.624,0.912,0.202,2.773,0.719,,0.329,0.802,0.172,0.056,0.46,2.253,0.132,,0.064,1.532,0.013,1.369,0.625,0.212,0.639
18,HF1299,,0.17,1.714,2.93,0.136,1.788,0.676,4.442,0.236,0.068,0.026,4.697,0.066,,,0.774,0.255,0.151,0.739,0.745,0.703,0.852,0.367,0.11,,,5.785,10.623,2.544,,0.776,0.022,,0.66,0.363,,0.434,0.26,0.413,0.653,1.376,0.213,2.316,1.001,,0.358,0.656,0.159,0.045,0.547,3.686,0.207,,0.068,2.414,0.008,1.672,0.566,0.33,0.51
19,HF1302,,0.025,0.586,1.101,0.763,1.379,0.066,0.514,5.266,0.071,0.151,3.977,0.128,,0.083,,5.968,0.129,0.175,0.249,10.297,0.263,0.184,0.149,,,2.226,3.742,0.26,,,,0.157,0.379,0.677,0.313,0.073,0.233,,0.585,0.378,0.182,1.734,0.027,,0.166,1.401,1.594,0.02,1.396,0.842,0.958,,0.048,0.645,,1.222,0.058,2.636,0.031
