short_code,trial_IDs,base_media,additional_compounds,strains,date
G29,r3_ecoli_mRuby-r1_pf-cpd00136:1-cpd00179:5,minimal components media,cpd00136:1:1;cpd00179:5:5,ecoli_mRuby:r3;pf:r1,"Apr 29, 22"
G30,r10_ecoli_mRuby-r1_pf-cpd00136:1-cpd00179:5,minimal components media,cpd00136:1:1;cpd00179:5:5,ecoli_mRuby:r10;pf:r1,"Apr 29, 22"
G31,r20_ecoli_mRuby-r1_pf-cpd00136:1-cpd00179:5,minimal components media,cpd00136:1:1;cpd00179:5:5,ecoli_mRuby:r20;pf:r1,"Apr 29, 22"
G32,r1_ecoli_mRuby-cpd00136:1-cpd00179:5,minimal components media,cpd00136:1:1;cpd00179:5:5,ecoli_mRuby:r1;pf:r0,"Apr 29, 22"
G33,cpd00136:1-cpd00179:5,minimal components media,cpd00136:1:1;cpd00179:5:5,ecoli_mRuby:r0;pf:r0,"Apr 29, 22"
G34,r1_pf-cpd00136:1-cpd00179:5,minimal components media,cpd00136:1:1;cpd00179:5:5,ecoli_ACS:r0;pf:r1,"Apr 29, 22"
G35,r1_ecoli_ACS-r50_pf-cpd00136:1-cpd00179:5,minimal components media,cpd00136:1:1;cpd00179:5:5,ecoli_ACS:r1;pf:r50,"Apr 29, 22"
G36,r1_ecoli_ACS-r20_pf-cpd00136:1-cpd00179:5,minimal components media,cpd00136:1:1;cpd00179:5:5,ecoli_ACS:r1;pf:r20,"Apr 29, 22"
G37,r1_ecoli_ACS-r10_pf-cpd00136:1-cpd00179:5,minimal components media,cpd00136:1:1;cpd00179:5:5,ecoli_ACS:r1;pf:r10,"Apr 29, 22"
G38,r1_ecoli_ACS-r3_pf-cpd00136:1-cpd00179:5,minimal components media,cpd00136:1:1;cpd00179:5:5,ecoli_ACS:r1;pf:r3,"Apr 29, 22"
G39,r1_ecoli_ACS-r1_pf-cpd00136:1-cpd00179:5,minimal components media,cpd00136:1:1;cpd00179:5:5,ecoli_ACS:r1;pf:r1,"Apr 29, 22"
G40,r3_ecoli_ACS-r1_pf-cpd00136:1-cpd00179:5,minimal components media,cpd00136:1:1;cpd00179:5:5,ecoli_ACS:r3;pf:r1,"Apr 29, 22"
G41,r10_ecoli_ACS-r1_pf-cpd00136:1-cpd00179:5,minimal components media,cpd00136:1:1;cpd00179:5:5,ecoli_ACS:r10;pf:r1,"Apr 29, 22"
G42,r20_ecoli_ACS-r1_pf-cpd00136:1-cpd00179:5,minimal components media,cpd00136:1:1;cpd00179:5:5,ecoli_ACS:r20;pf:r1,"Apr 29, 22"
G43,r1_ecoli_ACS-cpd00136:1-cpd00179:5,minimal components media,cpd00136:1:1;cpd00179:5:5,ecoli_ACS:r1;pf:r0,"Apr 29, 22"
G44,cpd00136:1-cpd00179:5,minimal components media,cpd00136:1:1;cpd00179:5:5,ecoli_ACS:r0;pf:r0,"Apr 29, 22"
G45,r1_pf-cpd00136:4-cpd00179:5,minimal components media,cpd00136:4:4;cpd00179:5:5,ecoli_mRuby:r0;pf:r1,"Apr 29, 22"
G46,r1_ecoli_mRuby-r50_pf-cpd00136:4-cpd00179:5,minimal components media,cpd00136:4:4;cpd00179:5:5,ecoli_mRuby:r1;pf:r50,"Apr 29, 22"
G47,r1_ecoli_mRuby-r20_pf-cpd00136:4-cpd00179:5,minimal components media,cpd00136:4:4;cpd00179:5:5,ecoli_mRuby:r1;pf:r20,"Apr 29, 22"
G48,r1_ecoli_mRuby-r10_pf-cpd00136:4-cpd00179:5,minimal components media,cpd00136:4:4;cpd00179:5:5,ecoli_mRuby:r1;pf:r10,"Apr 29, 22"
G49,r1_ecoli_mRuby-r3_pf-cpd00136:4-cpd00179:5,minimal components media,cpd00136:4:4;cpd00179:5:5,ecoli_mRuby:r1;pf:r3,"Apr 29, 22"
G50,r1_ecoli_mRuby-r1_pf-cpd00136:4-cpd00179:5,minimal components media,cpd00136:4:4;cpd00179:5:5,ecoli_mRuby:r1;pf:r1,"Apr 29, 22"
G51,r3_ecoli_mRuby-r1_pf-cpd00136:4-cpd00179:5,minimal components media,cpd00136:4:4;cpd00179:5:5,ecoli_mRuby:r3;pf:r1,"Apr 29, 22"
G52,r10_ecoli_mRuby-r1_pf-cpd00136:4-cpd00179:5,minimal components media,cpd00136:4:4;cpd00179:5:5,ecoli_mRuby:r10;pf:r1,"Apr 29, 22"
G53,r20_ecoli_mRuby-r1_pf-cpd00136:4-cpd00179:5,minimal components media,cpd00136:4:4;cpd00179:5:5,ecoli_mRuby:r20;pf:r1,"Apr 29, 22"
G54,r1_ecoli_mRuby-cpd00136:4-cpd00179:5,minimal components media,cpd00136:4:4;cpd00179:5:5,ecoli_mRuby:r1;pf:r0,"Apr 29, 22"
G55,cpd00136:4-cpd00179:5,minimal components media,cpd00136:4:4;cpd00179:5:5,ecoli_mRuby:r0;pf:r0,"Apr 29, 22"
G56,r1_pf-cpd00136:4-cpd00179:5,minimal components media,cpd00136:4:4;cpd00179:5:5,ecoli_ACS:r0;pf:r1,"Apr 29, 22"
G57,r1_ecoli_ACS-r50_pf-cpd00136:4-cpd00179:5,minimal components media,cpd00136:4:4;cpd00179:5:5,ecoli_ACS:r1;pf:r50,"Apr 29, 22"
G58,r1_ecoli_ACS-r20_pf-cpd00136:4-cpd00179:5,minimal components media,cpd00136:4:4;cpd00179:5:5,ecoli_ACS:r1;pf:r20,"Apr 29, 22"
G59,r1_ecoli_ACS-r10_pf-cpd00136:4-cpd00179:5,minimal components media,cpd00136:4:4;cpd00179:5:5,ecoli_ACS:r1;pf:r10,"Apr 29, 22"
G60,r1_ecoli_ACS-r3_pf-cpd00136:4-cpd00179:5,minimal components media,cpd00136:4:4;cpd00179:5:5,ecoli_ACS:r1;pf:r3,"Apr 29, 22"
G61,r1_ecoli_ACS-r1_pf-cpd00136:4-cpd00179:5,minimal components media,cpd00136:4:4;cpd00179:5:5,ecoli_ACS:r1;pf:r1,"Apr 29, 22"
G62,r3_ecoli_ACS-r1_pf-cpd00136:4-cpd00179:5,minimal components media,cpd00136:4:4;cpd00179:5:5,ecoli_ACS:r3;pf:r1,"Apr 29, 22"
G63,r10_ecoli_ACS-r1_pf-cpd00136:4-cpd00179:5,minimal components media,cpd00136:4:4;cpd00179:5:5,ecoli_ACS:r10;pf:r1,"Apr 29, 22"
G64,r20_ecoli_ACS-r1_pf-cpd00136:4-cpd00179:5,minimal components media,cpd00136:4:4;cpd00179:5:5,ecoli_ACS:r20;pf:r1,"Apr 29, 22"
G65,r1_ecoli_ACS-cpd00136:4-cpd00179:5,minimal components media,cpd00136:4:4;cpd00179:5:5,ecoli_ACS:r1;pf:r0,"Apr 29, 22"
G66,cpd00136:4-cpd00179:5,minimal components media,cpd00136:4:4;cpd00179:5:5,ecoli_ACS:r0;pf:r0,"Apr 29, 22"
