short_codes,trial_IDs,Time (s),OD:Raw_OD(590),pf:mNeonGreen,ecoli:mRuby
G50,r1_ecoli_mRuby-r1_pf-4_pf-5_ecoli,17.607,0.0670280262827873,12718.0,7787.0
G50,r1_ecoli_mRuby-r1_pf-4_pf-5_ecoli,613.747,0.0726434335112572,12163.0,7382.0
G50,r1_ecoli_mRuby-r1_pf-4_pf-5_ecoli,1205.628,0.0716853260993957,12134.0,7109.0
G50,r1_ecoli_mRuby-r1_pf-4_pf-5_ecoli,1798.107,0.0686292365193367,12364.0,7054.0
G50,r1_ecoli_mRuby-r1_pf-4_pf-5_ecoli,2390.5923333333335,0.0692137271165848,11804.0,7076.0
G50,r1_ecoli_mRuby-r1_pf-4_pf-5_ecoli,2983.113,0.07445959597826,11742.0,7025.0
G50,r1_ecoli_mRuby-r1_pf-4_pf-5_ecoli,3575.4376666666667,0.0723451510071755,11787.0,6979.0
G50,r1_ecoli_mRuby-r1_pf-4_pf-5_ecoli,4167.869,0.0768349394202232,11893.0,7049.0
G50,r1_ecoli_mRuby-r1_pf-4_pf-5_ecoli,4760.28,0.0788897633552551,11725.0,7063.0
G50,r1_ecoli_mRuby-r1_pf-4_pf-5_ecoli,5352.714333333333,0.0766092151403427,11859.0,7062.0
G50,r1_ecoli_mRuby-r1_pf-4_pf-5_ecoli,5945.169666666666,0.0767413020133972,11990.0,6959.0
G50,r1_ecoli_mRuby-r1_pf-4_pf-5_ecoli,6537.610000000001,0.0782146081328392,12096.0,6970.0
G50,r1_ecoli_mRuby-r1_pf-4_pf-5_ecoli,7130.092333333334,0.0850056171417236,11958.0,7047.0
G50,r1_ecoli_mRuby-r1_pf-4_pf-5_ecoli,7722.53,0.0814779981970787,12179.0,7118.0
G50,r1_ecoli_mRuby-r1_pf-4_pf-5_ecoli,8315.012,0.0843570575118065,12512.0,7075.0
G50,r1_ecoli_mRuby-r1_pf-4_pf-5_ecoli,8907.5,0.0870153397321701,13213.0,7111.0
G50,r1_ecoli_mRuby-r1_pf-4_pf-5_ecoli,9499.985333333332,0.0891542509198189,18035.0,7126.0
G50,r1_ecoli_mRuby-r1_pf-4_pf-5_ecoli,10092.419666666667,0.0908625110983849,16514.0,7179.0
G50,r1_ecoli_mRuby-r1_pf-4_pf-5_ecoli,10684.889666666668,0.0918022617697716,14779.0,7056.0
G50,r1_ecoli_mRuby-r1_pf-4_pf-5_ecoli,11277.357333333333,0.0941775321960449,13173.0,7400.0
G50,r1_ecoli_mRuby-r1_pf-4_pf-5_ecoli,11869.788666666667,0.0958690673112869,19280.0,7225.0
G50,r1_ecoli_mRuby-r1_pf-4_pf-5_ecoli,12462.235333333332,0.0981726437807083,13470.0,7307.0
G50,r1_ecoli_mRuby-r1_pf-4_pf-5_ecoli,13054.678666666667,0.100666332244873,14395.0,7255.0
G50,r1_ecoli_mRuby-r1_pf-4_pf-5_ecoli,13647.166666666666,0.105755181610584,15866.0,7283.0
G50,r1_ecoli_mRuby-r1_pf-4_pf-5_ecoli,14239.616333333333,0.107936605811119,18253.0,7380.0
G50,r1_ecoli_mRuby-r1_pf-4_pf-5_ecoli,14832.044666666667,0.108128598332405,19916.0,7567.0
G50,r1_ecoli_mRuby-r1_pf-4_pf-5_ecoli,15424.506333333333,0.113724866509438,18947.0,7669.0
G50,r1_ecoli_mRuby-r1_pf-4_pf-5_ecoli,16016.904999999999,0.113169947266579,24169.0,8000.0
G50,r1_ecoli_mRuby-r1_pf-4_pf-5_ecoli,16609.390333333333,0.125508520007133,28274.0,8135.0
G50,r1_ecoli_mRuby-r1_pf-4_pf-5_ecoli,17201.875333333333,0.118944483995438,21039.0,8170.0
G50,r1_ecoli_mRuby-r1_pf-4_pf-5_ecoli,17794.339333333333,0.130232208967209,22554.0,8315.0
G50,r1_ecoli_mRuby-r1_pf-4_pf-5_ecoli,18386.824333333334,0.134475663304329,21681.0,8229.0
G50,r1_ecoli_mRuby-r1_pf-4_pf-5_ecoli,18979.303333333333,0.133940416574478,27509.0,8236.0
G50,r1_ecoli_mRuby-r1_pf-4_pf-5_ecoli,19571.785666666667,0.138277497887611,36312.0,8398.0
G50,r1_ecoli_mRuby-r1_pf-4_pf-5_ecoli,20164.303333333333,0.143641304969788,25739.0,8592.0
G50,r1_ecoli_mRuby-r1_pf-4_pf-5_ecoli,20756.711333333336,0.147963267564774,26417.0,8624.0
G50,r1_ecoli_mRuby-r1_pf-4_pf-5_ecoli,21349.22333333333,0.154763638973236,32363.0,9043.0
G50,r1_ecoli_mRuby-r1_pf-4_pf-5_ecoli,21941.643,0.158460685610771,26235.0,9108.0
G50,r1_ecoli_mRuby-r1_pf-4_pf-5_ecoli,22534.115999999998,0.164014977216721,30576.0,9383.0
G50,r1_ecoli_mRuby-r1_pf-4_pf-5_ecoli,23126.595,0.17264010310173,30190.0,9613.0
G50,r1_ecoli_mRuby-r1_pf-4_pf-5_ecoli,23719.020999999997,0.181184747815132,30304.0,9801.0
G50,r1_ecoli_mRuby-r1_pf-4_pf-5_ecoli,24311.494000000002,0.183555150032043,32913.0,10084.0
G50,r1_ecoli_mRuby-r1_pf-4_pf-5_ecoli,24903.97,0.189299511909485,34649.0,10527.0
G50,r1_ecoli_mRuby-r1_pf-4_pf-5_ecoli,25496.408,0.196317911148071,36416.0,10693.0
G50,r1_ecoli_mRuby-r1_pf-4_pf-5_ecoli,26088.857333333333,0.204479289054871,39890.0,10952.0
G50,r1_ecoli_mRuby-r1_pf-4_pf-5_ecoli,26681.336333333336,0.212453469634056,43261.0,11484.0
