,Time (s),values,experiment_IDs,short_codes
0,8.83,23792.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
1,602.562,22801.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
2,1195.133,22736.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
3,1787.714,22333.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
4,2380.33,22074.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
5,2972.892,21952.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
6,3565.464,21720.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
7,4158.017,22143.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
8,4750.544,21552.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
9,5343.08,21339.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
10,5935.607,20731.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
11,6528.169,21332.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
12,7120.732,21130.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
13,7713.285,20970.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
14,8305.83,20319.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
15,8898.375,20572.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
16,9490.937,20771.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
17,10083.473,20987.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
18,10676.035,20385.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
19,11268.589,20872.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
20,11861.169,21073.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
21,12453.75,20784.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
22,13046.285,21430.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
23,13638.812,19949.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
24,14231.401,29951.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
25,14823.946,42192.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
26,15416.473,38247.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
27,16008.964,37687.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
28,16601.517,35625.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
29,17194.089,26474.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
30,17786.625,46405.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
31,18379.125,38001.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
32,18971.642,36499.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
33,19564.214,37060.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
34,20156.767,38356.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
35,20749.312,42169.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
36,21341.901,30950.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
37,21934.464,35698.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
38,22527.008,25151.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
39,23119.589,27215.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
40,23712.142,43027.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
41,24304.696,35142.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
42,24897.25,22917.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
43,25489.839,21927.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
44,26082.303,33214.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
45,26674.875,26824.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
46,27267.348,39589.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
47,27859.875,45056.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
48,28452.383,46145.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
49,29044.892,46589.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
50,29637.392,49500.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
51,30229.919,48250.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
52,30822.428,49935.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
53,31414.973,49240.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
54,32007.491,50937.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
55,32600.08,50084.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
56,33192.633,50909.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
57,33785.169,51416.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
58,34377.669,51388.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
59,34970.178,51550.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
60,35562.696,51335.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
61,36155.258,52432.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
62,36747.83,51545.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
63,37340.321,52168.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
64,37932.857,51977.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
65,38525.401,52968.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
66,39117.928,52546.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
67,39710.464,51838.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
68,40303.053,53640.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
69,40895.508,54009.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
70,41488.08,53576.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
71,42080.589,54744.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
72,42673.125,54849.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
73,43265.642,55065.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
74,43858.151,55223.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
75,44450.678,54775.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
76,45043.205,55773.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
77,45635.741,56902.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
78,46228.214,56792.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
79,46820.821,57210.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
80,47413.33,55444.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
81,48005.875,57182.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
82,48598.383,57276.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
83,49190.901,57306.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
84,49783.392,57101.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
85,50375.946,58771.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
86,50968.553,57976.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
87,51561.044,57708.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
88,52153.535,57852.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
89,52746.035,59702.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
90,53338.553,57867.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
91,53931.008,57914.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
92,54523.571,58217.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
93,55116.098,58344.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
94,55708.616,58684.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
95,56301.16,58876.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
96,56893.678,59744.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
97,57486.258,58988.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
98,58078.75,59908.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
99,58671.241,59645.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
100,59263.785,60900.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
101,59856.303,60057.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
102,60448.794,60336.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
103,61041.25,58249.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
104,61633.794,59160.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
105,62226.276,58758.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
106,62818.875,60897.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
107,63411.348,59980.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
108,64003.857,60236.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
109,64596.321,61188.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
110,65188.883,60670.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
111,65781.383,60674.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
112,66373.892,61000.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
113,66966.446,61363.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
114,67558.964,59947.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
115,68151.517,62354.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
116,68744.0,61074.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
117,69336.526,61342.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
118,69929.062,60477.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
119,70521.562,62681.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
120,71114.116,61596.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
121,71706.66,61961.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
122,72299.125,61988.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
123,72891.678,60774.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
124,73484.223,62021.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
125,74076.696,61830.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
126,74669.33,62019.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
127,75261.785,62166.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
128,75854.383,63230.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
129,76446.857,62364.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
130,77039.312,61446.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
131,77631.901,63559.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
132,78224.437,62899.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
133,78816.928,62045.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
134,79409.491,61450.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
