,Time (s),values,experiment_IDs,short_codes
0,8.83,68.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
1,602.723,94.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
2,1195.16,83.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
3,1787.741,104.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
4,2380.357,92.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
5,2972.919,75.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
6,3565.491,88.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
7,4158.053,62.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
8,4750.571,107.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
9,5343.143,77.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
10,5935.625,60.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
11,6528.196,63.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
12,7120.759,82.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
13,7713.303,102.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
14,8305.857,109.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
15,8898.446,135.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
16,9490.973,101.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
17,10083.491,84.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
18,10676.062,112.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
19,11268.607,72.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
20,11861.223,64.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
21,12453.776,70.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
22,13046.312,87.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
23,13638.857,82.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
24,14231.437,93.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
25,14823.973,95.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
26,15416.473,92.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
27,16008.955,79.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
28,16601.509,116.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
29,17194.053,72.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
30,17786.589,105.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
31,18379.08,90.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
32,18971.607,104.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
33,19564.196,100.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
34,20156.741,100.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
35,20749.339,87.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
36,21341.875,76.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
37,21934.455,103.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
38,22527.018,83.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
39,23119.598,74.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
40,23712.143,84.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
41,24304.687,104.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
42,24897.276,69.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
43,25489.848,112.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
44,26082.303,100.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
45,26674.848,89.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
46,27267.339,115.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
47,27859.857,85.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
48,28452.366,78.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
49,29044.866,125.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
50,29637.393,100.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
51,30229.848,114.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
52,30822.375,120.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
53,31414.946,83.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
54,32007.41,101.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
55,32600.009,99.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
56,33192.562,88.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
57,33785.089,114.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
58,34377.598,114.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
59,34970.08,90.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
60,35562.634,101.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
61,36155.151,93.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
62,36747.732,61.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
63,37340.268,73.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
64,37932.732,99.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
65,38525.268,92.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
66,39117.821,76.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
67,39710.312,110.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
68,40302.919,88.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
69,40895.357,130.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
70,41487.955,113.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
71,42080.428,108.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
72,42672.982,76.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
73,43265.5,97.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
74,43858.009,87.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
75,44450.535,128.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
76,45043.044,111.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
77,45635.571,104.0,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
