,Time (s),values,experiment_IDs,short_codes
0,27.633,0.0669073656201363,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
1,622.312,0.0671478435397148,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
2,1214.91,0.0658288091421127,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
3,1807.5,0.0653875544667244,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
4,2400.116,0.065139327943325,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
5,2992.687,0.0624307304620743,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
6,3585.241,0.0634464159607887,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
7,4177.803,0.0649975329637527,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
8,4770.348,0.0642359793186188,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
9,5362.875,0.0646079853177071,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
10,5955.401,0.0630492135882378,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
11,6547.964,0.0647800490260124,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
12,7140.526,0.0671530529856682,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
13,7733.062,0.066772934794426,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
14,8325.616,0.0672901138663292,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
15,8918.178,0.0653316631913185,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
16,9510.714,0.0664794236421585,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
17,10103.267,0.0645025417208672,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
18,10695.839,0.0635953068733215,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
19,11288.383,0.0614667668938637,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
20,11880.964,0.0665179148316383,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
21,12473.535,0.0635068789124489,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
22,13066.098,0.0627459645271301,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
23,13658.633,0.0641249850392342,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
24,14251.205,0.0657409504055977,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
25,14843.75,0.066994446516037,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
26,15436.312,0.0680608943104744,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
27,16028.821,0.0689509272575378,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
28,16621.392,0.0720873221755028,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
29,17213.919,0.0754329681396484,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
30,17806.464,0.0705161407589912,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
31,18398.982,0.0718139290809631,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
32,18991.517,0.0701346963644028,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
33,19584.089,0.0782845616340637,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
34,20176.642,0.0767864093184471,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
35,20769.187,0.075624780356884,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
36,21361.741,0.0759956255555153,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
37,21954.312,0.0787536233663559,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
38,22546.839,0.0741374656558037,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
39,23139.437,0.0783846169710159,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
40,23732.017,0.08105259090662,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
41,24324.535,0.083245687186718,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
42,24917.116,0.0812521934509277,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
43,25509.66,0.0806878164410591,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
44,26102.178,0.0861425518989563,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
45,26694.723,0.0922324657440186,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
46,27287.241,0.118968835473061,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
47,27879.767,0.121019510924816,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
48,28472.303,0.120771531760693,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
49,29064.821,0.125300617516041,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
50,29657.357,0.129521399736404,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
51,30249.883,0.125698614120483,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
52,30842.437,0.126366665959358,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
53,31434.973,0.128272849321365,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
54,32027.526,0.125451268255711,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
55,32620.107,0.12843431532383,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
56,33212.651,0.129006841778755,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
57,33805.187,0.129774963855743,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
58,34397.714,0.123218229413033,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
59,34990.25,0.128473910689354,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
60,35582.785,0.128098461031914,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
61,36175.339,0.12839643061161,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
62,36767.928,0.12809564769268,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
63,37360.428,0.126002909243107,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
64,37952.982,0.126756080985069,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
65,38545.526,0.125560359656811,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
66,39138.071,0.128528383374214,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
67,39730.633,0.130995243787766,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
68,40323.214,0.127907335758209,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
69,40915.705,0.12707177400589,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
70,41508.276,0.127079665660858,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
71,42100.83,0.130642041563988,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
72,42693.375,0.131474521756172,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
73,43285.901,0.131122472882271,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
74,43878.401,0.129562541842461,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
75,44470.937,0.130564743280411,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
76,45063.473,0.131602695584297,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
77,45656.017,0.126109547913074,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
78,46248.544,0.131669569015503,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
79,46841.116,0.129150581359863,r1_ecoli_ACS-r50_pf-5_malt-1_4HB,Z35
