,Time (s),values,experiment_IDs,short_codes
0,3.152,12143.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB,Y18
1,599.812,11903.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB,Y18
2,1191.687,11867.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB,Y18
3,1784.205,11733.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB,Y18
4,2376.661,11740.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB,Y18
5,2969.169,11744.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB,Y18
6,3561.5,11719.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB,Y18
7,4153.919,11662.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB,Y18
8,4746.33,11508.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB,Y18
9,5338.768,11646.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB,Y18
10,5931.214,11857.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB,Y18
11,6523.669,11531.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB,Y18
12,7116.161,11595.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB,Y18
13,7708.58,11799.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB,Y18
14,8301.053,11835.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB,Y18
15,8893.536,11661.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB,Y18
16,9486.018,11933.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB,Y18
17,10078.446,12068.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB,Y18
18,10670.919,12111.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB,Y18
19,11263.393,12108.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB,Y18
20,11855.794,12243.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB,Y18
21,12448.241,12264.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB,Y18
22,13040.705,12247.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB,Y18
23,13633.178,12429.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB,Y18
24,14225.625,12367.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB,Y18
25,14818.053,12421.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB,Y18
26,15410.491,12746.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB,Y18
27,16002.875,12613.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB,Y18
28,16595.348,12803.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB,Y18
29,17187.866,12811.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB,Y18
30,17780.321,13136.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB,Y18
31,18372.794,13407.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB,Y18
32,18965.286,13398.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB,Y18
33,19557.768,14299.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB,Y18
34,20150.286,14418.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB,Y18
35,20742.669,14359.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB,Y18
36,21335.196,14993.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB,Y18
37,21927.598,15395.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB,Y18
38,22520.053,15888.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB,Y18
39,23112.518,16412.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB,Y18
40,23704.955,16585.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB,Y18
41,24297.402,16990.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB,Y18
42,24889.902,17477.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB,Y18
43,25482.321,18035.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB,Y18
44,26074.75,17968.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB,Y18
45,26667.241,18402.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB,Y18
46,27259.669,18389.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB,Y18
47,27852.134,18820.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB,Y18
48,28444.527,18987.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB,Y18
49,29037.0,19764.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB,Y18
50,29629.482,20327.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB,Y18
51,30221.911,20387.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB,Y18
52,30814.33,21317.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB,Y18
53,31406.75,22188.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB,Y18
54,31999.134,22641.0,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB,Y18
