short_codes,Time (s),values,experiment_IDs
Y18,9.858,0.0662494882941246,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,604.956,0.0744528517127037,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,1196.849,0.0704551309347153,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,1789.304,0.0704651534557343,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,2381.795,0.0729486957192421,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,2974.331,0.0733661755919457,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,3566.652,0.0741297155618668,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,4159.099,0.0765266731381416,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,4751.527,0.0781468719244003,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,5343.956,0.0772346869111061,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,5936.438,0.0815018981695175,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,6528.867,0.0835360124707222,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,7121.358,0.0884642586112022,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,7713.813,0.0890657126903534,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,8306.322,0.0907299309968948,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,8898.831,0.0935814648866653,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,9491.34,0.0947564661502838,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,10083.786,0.0975787416100502,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,10676.268,0.0996241122484207,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,11268.733,0.104096810519695,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,11861.206,0.105430698394775,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,12453.67,0.110938119888306,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,13046.117,0.112938991189003,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,13638.617,0.116202172636986,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,14231.054,0.1198420971632,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,14823.545,0.12515674829483,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,15416.018,0.127811059355736,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,16008.438,0.131755262613297,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,16600.929,0.142174935340881,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,17193.411,0.140137988328934,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,17785.884,0.147982254624367,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,18378.393,0.151215317845345,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,18970.875,0.158182832598686,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,19563.375,0.165437462925911,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,20155.875,0.170071637630463,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,20748.331,0.185932669043541,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,21340.831,0.183484840393066,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,21933.295,0.191879212856293,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,22525.795,0.200139120221138,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,23118.304,0.211233404278755,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,23710.724,0.220752322673798,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,24303.242,0.22882659137249,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,24895.697,0.240563917160034,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,25488.161,0.252592873573303,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,26080.652,0.262679010629654,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,26673.108,0.267513984441757,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,27265.608,0.275350612401962,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,27858.081,0.295507794618607,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,28450.5,0.31376633644104,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,29043.018,0.328293037414551,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,29635.509,0.340362286567688,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,30227.983,0.352027660608292,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,30820.438,0.367260903120041,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,31412.902,0.378912150859833,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,32005.331,0.392276042699814,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,32597.804,0.404218447208405,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,33190.259,0.421873110532761,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
Y18,33782.697,0.436343729496002,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB
