,experiment_ids,short_code,base_media,additional_compounds,strains,date
0,r1_pf-5_malt,Y1,93465/1/1,cpd00179:5:0.5,ecoli_mRuby:r0;pf:r1,10-05-22
1,r1_ecoli_mRuby-r50_pf-5_malt,Y2,93465/1/1,cpd00179:5:0.5,ecoli_mRuby:r1;pf:r50,10-05-22
2,r1_ecoli_mRuby-r20_pf-5_malt,Y3,93465/1/1,cpd00179:5:0.5,ecoli_mRuby:r1;pf:r20,10-05-22
3,r1_ecoli_mRuby-r10_pf-5_malt,Y4,93465/1/1,cpd00179:5:0.5,ecoli_mRuby:r1;pf:r10,10-05-22
4,r1_ecoli_mRuby-r3_pf-5_malt,Y5,93465/1/1,cpd00179:5:0.5,ecoli_mRuby:r1;pf:r3,10-05-22
5,r1_ecoli_mRuby-r1_pf-5_malt,Y6,93465/1/1,cpd00179:5:0.5,ecoli_mRuby:r1;pf:r1,10-05-22
6,r3_ecoli_mRuby-r1_pf-5_malt,Y7,93465/1/1,cpd00179:5:0.5,ecoli_mRuby:r3;pf:r1,10-05-22
7,r10_ecoli_mRuby-r1_pf-5_malt,Y8,93465/1/1,cpd00179:5:0.5,ecoli_mRuby:r10;pf:r1,10-05-22
8,r20_ecoli_mRuby-r1_pf-5_malt,Y9,93465/1/1,cpd00179:5:0.5,ecoli_mRuby:r20;pf:r1,10-05-22
9,r1_ecoli_mRuby-5_malt,Y10,93465/1/1,cpd00179:5:0.5,ecoli_mRuby:r1;pf:r0,10-05-22
10,5_malt,Y11,93465/1/1,cpd00179:5:0.5,ecoli_mRuby:r0;pf:r0,10-05-22
11,r1_pf-5_malt-0.5_4HB,Y12,93465/1/1,cpd00179:5:0.5;cpd00136:0.5:0.05,ecoli_ACS:r0;pf:r1,10-05-22
12,r1_ecoli_ACS-r50_pf-5_malt-0.5_4HB,Y13,93465/1/1,cpd00179:5:0.5;cpd00136:0.5:0.05,ecoli_ACS:r1;pf:r50,10-05-22
13,r1_ecoli_ACS-r20_pf-5_malt-0.5_4HB,Y14,93465/1/1,cpd00179:5:0.5;cpd00136:0.5:0.05,ecoli_ACS:r1;pf:r20,10-05-22
14,r1_ecoli_ACS-r10_pf-5_malt-0.5_4HB,Y15,93465/1/1,cpd00179:5:0.5;cpd00136:0.5:0.05,ecoli_ACS:r1;pf:r10,10-05-22
15,r1_ecoli_ACS-r3_pf-5_malt-0.5_4HB,Y16,93465/1/1,cpd00179:5:0.5;cpd00136:0.5:0.05,ecoli_ACS:r1;pf:r3,10-05-22
16,r1_ecoli_ACS-r1_pf-5_malt-0.5_4HB,Y17,93465/1/1,cpd00179:5:0.5;cpd00136:0.5:0.05,ecoli_ACS:r1;pf:r1,10-05-22
17,r3_ecoli_ACS-r1_pf-5_malt-0.5_4HB,Y18,93465/1/1,cpd00179:5:0.5;cpd00136:0.5:0.05,ecoli_ACS:r3;pf:r1,10-05-22
18,r10_ecoli_ACS-r1_pf-5_malt-0.5_4HB,Y19,93465/1/1,cpd00179:5:0.5;cpd00136:0.5:0.05,ecoli_ACS:r10;pf:r1,10-05-22
19,r20_ecoli_ACS-r1_pf-5_malt-0.5_4HB,Y20,93465/1/1,cpd00179:5:0.5;cpd00136:0.5:0.05,ecoli_ACS:r20;pf:r1,10-05-22
20,r1_ecoli_ACS-5_malt-0.5_4HB,Y21,93465/1/1,cpd00179:5:0.5;cpd00136:0.5:0.05,ecoli_ACS:r1;pf:r0,10-05-22
21,5_malt-0.5_4HB,Y22,93465/1/1,cpd00179:5:0.5;cpd00136:0.5:0.05,ecoli_ACS:r0;pf:r0,10-05-22
22,r1_pf-5_malt-1_4HB,Y23,93465/1/1,cpd00179:5:0.5;cpd00136:1:0.1,ecoli_mRuby:r0;pf:r1,10-05-22
23,r1_ecoli_mRuby-r50_pf-5_malt-1_4HB,Y24,93465/1/1,cpd00179:5:0.5;cpd00136:1:0.1,ecoli_mRuby:r1;pf:r50,10-05-22
24,r1_ecoli_mRuby-r20_pf-5_malt-1_4HB,Y25,93465/1/1,cpd00179:5:0.5;cpd00136:1:0.1,ecoli_mRuby:r1;pf:r20,10-05-22
25,r1_ecoli_mRuby-r10_pf-5_malt-1_4HB,Y26,93465/1/1,cpd00179:5:0.5;cpd00136:1:0.1,ecoli_mRuby:r1;pf:r10,10-05-22
26,r1_ecoli_mRuby-r3_pf-5_malt-1_4HB,Y27,93465/1/1,cpd00179:5:0.5;cpd00136:1:0.1,ecoli_mRuby:r1;pf:r3,10-05-22
27,r1_ecoli_mRuby-r1_pf-5_malt-1_4HB,Y28,93465/1/1,cpd00179:5:0.5;cpd00136:1:0.1,ecoli_mRuby:r1;pf:r1,10-05-22
28,r3_ecoli_mRuby-r1_pf-5_malt-1_4HB,Y29,93465/1/1,cpd00179:5:0.5;cpd00136:1:0.1,ecoli_mRuby:r3;pf:r1,10-05-22
29,r10_ecoli_mRuby-r1_pf-5_malt-1_4HB,Y30,93465/1/1,cpd00179:5:0.5;cpd00136:1:0.1,ecoli_mRuby:r10;pf:r1,10-05-22
30,r20_ecoli_mRuby-r1_pf-5_malt-1_4HB,Y31,93465/1/1,cpd00179:5:0.5;cpd00136:1:0.1,ecoli_mRuby:r20;pf:r1,10-05-22
31,r1_ecoli_mRuby-5_malt-1_4HB,Y32,93465/1/1,cpd00179:5:0.5;cpd00136:1:0.1,ecoli_mRuby:r1;pf:r0,10-05-22
32,5_malt-1_4HB,Y33,93465/1/1,cpd00179:5:0.5;cpd00136:1:0.1,ecoli_mRuby:r0;pf:r0,10-05-22
33,r1_pf-5_malt-2_4HB,Y34,93465/1/1,cpd00179:5:0.5;cpd00136:2:0.2,ecoli_ACS:r0;pf:r1,10-05-22
34,r1_ecoli_ACS-r50_pf-5_malt-2_4HB,Y35,93465/1/1,cpd00179:5:0.5;cpd00136:2:0.2,ecoli_ACS:r1;pf:r50,10-05-22
35,r1_ecoli_ACS-r20_pf-5_malt-2_4HB,Y36,93465/1/1,cpd00179:5:0.5;cpd00136:2:0.2,ecoli_ACS:r1;pf:r20,10-05-22
36,r1_ecoli_ACS-r10_pf-5_malt-2_4HB,Y37,93465/1/1,cpd00179:5:0.5;cpd00136:2:0.2,ecoli_ACS:r1;pf:r10,10-05-22
37,r1_ecoli_ACS-r3_pf-5_malt-2_4HB,Y38,93465/1/1,cpd00179:5:0.5;cpd00136:2:0.2,ecoli_ACS:r1;pf:r3,10-05-22
38,r1_ecoli_ACS-r1_pf-5_malt-2_4HB,Y39,93465/1/1,cpd00179:5:0.5;cpd00136:2:0.2,ecoli_ACS:r1;pf:r1,10-05-22
39,r3_ecoli_ACS-r1_pf-5_malt-2_4HB,Y40,93465/1/1,cpd00179:5:0.5;cpd00136:2:0.2,ecoli_ACS:r3;pf:r1,10-05-22
40,r10_ecoli_ACS-r1_pf-5_malt-2_4HB,Y41,93465/1/1,cpd00179:5:0.5;cpd00136:2:0.2,ecoli_ACS:r10;pf:r1,10-05-22
41,r20_ecoli_ACS-r1_pf-5_malt-2_4HB,Y42,93465/1/1,cpd00179:5:0.5;cpd00136:2:0.2,ecoli_ACS:r20;pf:r1,10-05-22
42,r1_ecoli_ACS-5_malt-2_4HB,Y43,93465/1/1,cpd00179:5:0.5;cpd00136:2:0.2,ecoli_ACS:r1;pf:r0,10-05-22
43,5_malt-2_4HB,Y44,93465/1/1,cpd00179:5:0.5;cpd00136:2:0.2,ecoli_ACS:r0;pf:r0,10-05-22
44,r1_pf-5_malt-4_4HB,Y45,93465/1/1,cpd00179:5:0.5;cpd00136:4:0.4,ecoli_mRuby:r0;pf:r1,10-05-22
45,r1_ecoli_mRuby-r50_pf-5_malt-4_4HB,Y46,93465/1/1,cpd00179:5:0.5;cpd00136:4:0.4,ecoli_mRuby:r1;pf:r50,10-05-22
46,r1_ecoli_mRuby-r20_pf-5_malt-4_4HB,Y47,93465/1/1,cpd00179:5:0.5;cpd00136:4:0.4,ecoli_mRuby:r1;pf:r20,10-05-22
47,r1_ecoli_mRuby-r10_pf-5_malt-4_4HB,Y48,93465/1/1,cpd00179:5:0.5;cpd00136:4:0.4,ecoli_mRuby:r1;pf:r10,10-05-22
48,r1_ecoli_mRuby-r3_pf-5_malt-4_4HB,Y49,93465/1/1,cpd00179:5:0.5;cpd00136:4:0.4,ecoli_mRuby:r1;pf:r3,10-05-22
49,r1_ecoli_mRuby-r1_pf-5_malt-4_4HB,Y50,93465/1/1,cpd00179:5:0.5;cpd00136:4:0.4,ecoli_mRuby:r1;pf:r1,10-05-22
50,r3_ecoli_mRuby-r1_pf-5_malt-4_4HB,Y51,93465/1/1,cpd00179:5:0.5;cpd00136:4:0.4,ecoli_mRuby:r3;pf:r1,10-05-22
51,r10_ecoli_mRuby-r1_pf-5_malt-4_4HB,Y52,93465/1/1,cpd00179:5:0.5;cpd00136:4:0.4,ecoli_mRuby:r10;pf:r1,10-05-22
52,r20_ecoli_mRuby-r1_pf-5_malt-4_4HB,Y53,93465/1/1,cpd00179:5:0.5;cpd00136:4:0.4,ecoli_mRuby:r20;pf:r1,10-05-22
53,r1_ecoli_mRuby-5_malt-4_4HB,Y54,93465/1/1,cpd00179:5:0.5;cpd00136:4:0.4,ecoli_mRuby:r1;pf:r0,10-05-22
54,5_malt-4_4HB,Y55,93465/1/1,cpd00179:5:0.5;cpd00136:4:0.4,ecoli_mRuby:r0;pf:r0,10-05-22
55,r1_pf-5_malt-8_4HB,Y56,93465/1/1,cpd00179:5:0.5;cpd00136:8:0.8,ecoli_ACS:r0;pf:r1,10-05-22
56,r1_ecoli_ACS-r50_pf-5_malt-8_4HB,Y57,93465/1/1,cpd00179:5:0.5;cpd00136:8:0.8,ecoli_ACS:r1;pf:r50,10-05-22
57,r1_ecoli_ACS-r20_pf-5_malt-8_4HB,Y58,93465/1/1,cpd00179:5:0.5;cpd00136:8:0.8,ecoli_ACS:r1;pf:r20,10-05-22
58,r1_ecoli_ACS-r10_pf-5_malt-8_4HB,Y59,93465/1/1,cpd00179:5:0.5;cpd00136:8:0.8,ecoli_ACS:r1;pf:r10,10-05-22
59,r1_ecoli_ACS-r3_pf-5_malt-8_4HB,Y60,93465/1/1,cpd00179:5:0.5;cpd00136:8:0.8,ecoli_ACS:r1;pf:r3,10-05-22
60,r1_ecoli_ACS-r1_pf-5_malt-8_4HB,Y61,93465/1/1,cpd00179:5:0.5;cpd00136:8:0.8,ecoli_ACS:r1;pf:r1,10-05-22
61,r3_ecoli_ACS-r1_pf-5_malt-8_4HB,Y62,93465/1/1,cpd00179:5:0.5;cpd00136:8:0.8,ecoli_ACS:r3;pf:r1,10-05-22
62,r10_ecoli_ACS-r1_pf-5_malt-8_4HB,Y63,93465/1/1,cpd00179:5:0.5;cpd00136:8:0.8,ecoli_ACS:r10;pf:r1,10-05-22
63,r20_ecoli_ACS-r1_pf-5_malt-8_4HB,Y64,93465/1/1,cpd00179:5:0.5;cpd00136:8:0.8,ecoli_ACS:r20;pf:r1,10-05-22
64,r1_ecoli_ACS-5_malt-8_4HB,Y65,93465/1/1,cpd00179:5:0.5;cpd00136:8:0.8,ecoli_ACS:r1;pf:r0,10-05-22
65,5_malt-8_4HB,Y66,93465/1/1,cpd00179:5:0.5;cpd00136:8:0.8,ecoli_ACS:r0;pf:r0,10-05-22
